Complete Game Pass Master List by u/ABattleVet,512,,,,,,Playstation Plus,,,,See suggestions tab for color coding,,The community can add games to cross play/play anywhere,,Public Notes,
Game,System,xCloud,Status,Added,Removed,Months,Release,Age,Metacritic,Completion,Genre (Giantbomb),Xbox Series X|S,Owner Notes,ESRB,ESRB Content Descriptors,Community Notes
Yakuza 3: Remastered,Xbox / PC,Touch Controls,Active,Jan 2021,,33.27,Aug 2019,1.44,77,18,Role-Playing / Brawler / Action-Adventure,,,M,"Use of Alcohol, Blood, Sexual Themes, Strong Language, Violence",
Yakuza 4: Remastered,Xbox / PC,Touch Controls,Active,Jan 2021,,33.27,Oct 2019,1.25,78,23,Role-Playing / Brawler / Action-Adventure,,,M,"Use of Alcohol, Blood, Sexual Themes, Strong Language, Violence",
Yakuza 5: Remastered,Xbox / PC,Touch Controls,Active,Jan 2021,,33.27,Feb 2020,0.96,82,39,Role-Playing / Brawler / Action-Adventure,,,M,"Blood, Intense Violence, Partial Nudity, Sexual Themes, Strong Language, Use of Alcohol",
Injustice 2,Xbox / PC,Yes,Active,Jan 2021,,33.96,May 2017,3.65,88,6,Fighting,,,T,"Blood, Suggestive Themes, Alcohol Reference, Violence, Language",
Among Us,Xbox / PC,Touch Controls,Active,Dec 2020,,34.65,Jun 2018,2.51,85,14,Strategy,,"Game Pass Core launch title (9/14/23), Joined console and cloud 12/14/21",E10+,"Fantasy Violence, Mild Blood",Crossplay
Monster Train,Xbox / PC,Touch Controls,Active,Dec 2020,,34.65,May 2020,0.58,85,2,Strategy / Card Game,,,E,Mild Fantasy Violence,
The Elder Scrolls V: Skyrim Special Edition,Xbox / PC,Yes,Active,Dec 2020,,34.72,Oct 2016,4.13,82,26,Role-Playing,FPS Boost,Official PC Mod Support,M,"Use of Alcohol, Blood and Gore, Sexual Themes, Language, Intense Violence",
Monster Sanctuary,Xbox / PC,Touch Controls,Active,Dec 2020,,34.95,Aug 2019,1.28,82,27,Adventure / Platformer,,,E10+,"Fantasy Violence, Mild Blood, Tobacco Reference",
Starbound,PC,,Active,Dec 2020,,34.95,Jul 2016,4.38,81,22,Platformer / Action-Adventure,,Official PC Mod Support,E10+,"Fantasy Violence, Crude Humor, Mild Blood, Alcohol Reference",
NHL 94 Rewind,Xbox,,Active,Dec 2020,,35.11,Oct 2020,0.09,100,15,Sports / Soccer,,,E,,
Halo 4,PC,,Active,Nov 2020,,35.64,Nov 2012,8.04,87,8,Action / First-Person Shooter,,,M,"Blood and Gore, Violence, Language",
A Way Out,Xbox / PC,,Active,Nov 2020,,35.87,Mar 2018,2.64,79,6,Action / Action-Adventure,,,M,"Nudity, Blood, Sexual Content, Strong Language, Intense Violence",
Alice: Madness Returns,Xbox / PC,,Active,Nov 2020,,35.87,Jun 2011,9.42,70,14,Platformer / Action-Adventure,,Joins PC 2/28/22,M,"Blood and Gore, Sexual Themes, Strong Language, Violence",Xbox 360
Anthem,Xbox / PC,,Active,Nov 2020,,35.87,Feb 2019,1.74,62,13,Action / Role-Playing,FPS Boost X Only,,T,"Mild Blood, Use of Tobacco, Alcohol Reference, Violence, Language",Does not FPS boost on Series S
Army of Two,Xbox,,Active,Nov 2020,,35.87,Mar 2008,12.70,72,7,Action / Shooter,,,M,"Blood, Strong Language, Intense Violence",Xbox 360
Battlefield 1: Revolution,Xbox / PC,Yes,Active,Nov 2020,,35.87,Oct 2016,4.06,87,7,First-Person Shooter,FPS Boost X Only,,M,"Blood, Strong Language, Violence",Does not FPS boost on Series S
Battlefield 3: Premium Edition,Xbox / PC,,Active,Nov 2020,,35.87,Oct 2011,9.05,84,6,First-Person Shooter / Vehicular Combat,,Enhanced edition only on PC,M,"Blood, Strong Language, Intense Violence",Xbox 360
Battlefield 4: Premium Edition,Xbox / PC,Yes,Active,Nov 2020,,35.87,Oct 2013,7.04,81,6,First-Person Shooter,FPS Boost,Enhanced edition only on PC,M,"Blood and Gore, Strong Language, Intense Violence",
Battlefield V: Year Two Edition,Xbox / PC,Yes,Active,Nov 2020,,35.87,Nov 2018,1.99,78,6,Action / First-Person Shooter,FPS Boost X Only,Enhanced edition only on PC,M,"Blood, Strong Language, Violence",Does not FPS boost on Series S
Battlefield: Hardline - Ultimate Edition,Xbox / PC,,Active,Nov 2020,,35.87,Mar 2015,5.66,71,8,First-Person Shooter,FPS Boost,Enhanced edition only on PC,M,"Blood and Gore, Use of Drugs, Strong Language, Intense Violence",
Bejeweled 2,Xbox,,Active,Nov 2020,,35.87,Nov 2004,16.02,69,2,Puzzle,,,E,,Xbox 360
Bejeweled 3,Xbox,,Active,Nov 2020,,35.87,Dec 2010,9.93,78,5,Strategy / Puzzle,,,E,,Xbox 360
BLACK,Xbox,,Active,Nov 2020,,35.87,Feb 2006,14.71,77,6,First-Person Shooter,,,M,"Strong Language, Violence",OG Xbox
Burnout: Paradise - Remastered,Xbox / PC,,Active,Nov 2020,,35.87,Jan 2008,12.81,79,11,Driving/Racing,,,E10+,"Mild Violence, Mild Suggestive Themes","Xbox 360, PlayStation 3, PC"
Crysis,Xbox / PC,,Active,Nov 2020,,35.87,Nov 2007,13.00,81,10,Action / First-Person Shooter,,,M,"Blood, Strong Language, Violence","Xbox 360, PC"
Crysis 2: Maximum Edition,Xbox / PC,,Active,Nov 2020,,35.87,Mar 2011,9.65,84,9,First-Person Shooter,,Enhanced edition only on PC,M,"Blood, Partial Nudity, Strong Language, Violence",Xbox 360
Crysis 3,Xbox / PC,,Active,Nov 2020,,35.87,Feb 2013,7.73,76,7,First-Person Shooter,,,M,"Blood, Strong Language, Violence",Xbox 360
Dante's Inferno,Xbox,,Active,Nov 2020,,35.87,Feb 2010,10.76,73,8,Action,,,M,"Blood and Gore, Intense Violence, Nudity, Sexual Content",Xbox 360
Dead Space,Xbox / PC,Yes,Active,Nov 2020,,35.87,Oct 2008,12.08,89,11,Action,,,M,"Blood and Gore, Strong Language, Intense Violence",Xbox 360
Dead Space 2,Xbox / PC,Yes,Active,Nov 2020,,35.87,Jan 2011,9.80,90,9,Action / Shooter,FPS Boost,Joined cloud 3/9/23,M,"Blood and Gore, Strong Language, Intense Violence",Xbox 360
Dead Space 3,Xbox / PC,Yes,Active,Nov 2020,,35.87,Feb 2013,7.77,78,13,Action / Shooter,FPS Boost,Joined cloud 3/9/23,M,"Blood and Gore, Strong Language, Intense Violence",Xbox 360
Dead Space: Ignition,Xbox,,Active,Nov 2020,,35.87,Oct 2010,10.09,35,2,Puzzle,,,M,"Blood and Gore, Strong Language, Intense Violence",Xbox 360
Dragon Age II,Xbox / PC,Touch Controls,Active,Nov 2020,,35.87,Mar 2011,9.68,79,27,Role-Playing,FPS Boost,Added to cloud 4/7/22,M,"Blood and Gore, Sexual Content, Violence, Language",Xbox 360
Dragon Age: Inquisition - Game of the Year Edition,Xbox / PC,Yes,Active,Nov 2020,,35.87,Nov 2014,5.98,86,47,Action / Role-Playing,FPS Boost,Enhanced edition only on PC,M,"Nudity, Blood, Sexual Content, Strong Language, Intense Violence",
Dragon Age: Origins - Ultimate Edition,Xbox / PC,Touch Controls,Active,Nov 2020,,35.87,Nov 2009,11.03,86,41,Role-Playing,FPS Boost,Enhanced edition only on PC,M,"Blood, Intense Violence, Language, Partial Nudity, Sexual Themes","Xbox 360, PlayStation 3, PC"
EA Sports UFC 3,Xbox,,Active,Nov 2020,,35.87,Feb 2018,2.77,77,9,Sports / Fighting,,,T,"Blood, Suggestive Themes, Violence, Language",
Fe,Xbox / PC,,Active,Nov 2020,,35.87,Feb 2018,2.73,70,6,Action-Adventure,,,E,Mild Fantasy Violence,
Feeding Frenzy,Xbox,,Active,Nov 2020,,35.87,Mar 2006,14.67,65,2,Action,,,E,,Xbox 360
Feeding Frenzy 2: Shipwreck Showdown,Xbox,,Active,Nov 2020,,35.87,Feb 2006,14.77,65,3,Action,,,E,Comic Mischief,Xbox 360
Fight Night: Champion,Xbox,,Active,Nov 2020,,35.87,Mar 2011,9.70,86,5,Simulation / Fighting / Boxing,,,M,"Blood, Suggestive Themes, Strong Language, Violence",Xbox 360
Heavy Weapon,Xbox,,Active,Nov 2020,,35.87,Jan 2007,13.82,77,2,Dual-Joystick Shooter,,,E10+,"Fantasy Violence, Use of Tobacco",Xbox 360
Mass Effect 2: Digital Deluxe Edition,Xbox / PC,,Active,Nov 2020,,35.87,Jan 2010,10.80,96,25,Role-Playing / Action-Adventure,,Enhanced edition only on PC,M,"Blood, Sexual Content, Drug Reference, Strong Language, Violence",Xbox 360
Mass Effect 3: N7 Digital Deluxe Edition,Xbox / PC,,Active,Nov 2020,,35.87,Mar 2012,8.69,93,24,Role-Playing / Shooter / Action-Adventure,,Enhanced edition only on PC,M,"Blood, Sexual Content, Partial Nudity, Strong Language, Violence",Xbox 360
Mass Effect: Andromeda - Deluxe Edition,Xbox / PC,Yes,Active,Nov 2020,,35.87,Mar 2017,3.64,76,19,Role-Playing / Action-Adventure,,Enhanced edition only on PC,M,"Nudity, Blood, Strong Sexual Content, Strong Language, Violence",
Medal of Honor: Airborne,Xbox / PC,,Active,Nov 2020,,35.87,Sep 2007,13.19,73,6,Action / First-Person Shooter,FPS Boost,,M,"Blood, Strong Language, Violence",Xbox 360
Mirror's Edge,Xbox / PC,,Active,Nov 2020,,35.87,Apr 2010,10.62,79,6,Action / Platformer,FPS Boost,,T,"Blood, Violence, Language",Xbox 360
Mirror's Edge: Catalyst,Xbox / PC,Yes,Active,Nov 2020,,35.87,Jun 2016,4.43,72,9,Action-Adventure,FPS Boost X Only,,T,"Mild Language, Violence",Does not FPS boost on Series S
NBA LIVE 16,Xbox,,Active,Nov 2020,,35.87,Sep 2015,5.12,60,55,Sports / Basketball,,,E,,
NBA LIVE 19,Xbox,,Active,Nov 2020,,35.87,Sep 2018,2.18,75,28,Sports / Basketball,,,E,,
Need for Speed: Deluxe Edition,Xbox / PC,,Active,Nov 2020,,35.87,Nov 2015,5.02,65,16,Driving/Racing,,Enhanced edition only on PC,T,"Mild Violence, Language",
Need for Speed: Heat - Deluxe Edition,Xbox / PC,Touch Controls,Active,Nov 2020,,35.87,Nov 2019,1.01,74,13,Driving/Racing,,Enhanced edition only on PC,T,"Mild Violence, Language",
Need for Speed: Payback - Deluxe Edition,Xbox / PC,,Active,Nov 2020,,35.87,Nov 2017,3.00,61,19,Driving/Racing,,Enhanced edition only on PC,T,"Mild Violence, Mild Suggestive Themes, Language",
Need for Speed: Rivals - Complete Edition,Xbox / PC,,Active,Nov 2020,,35.87,Nov 2013,6.99,75,13,Driving/Racing,,Enhanced edition only on PC,E10+,Mild Violence,
NHL 17,Xbox,,Active,Nov 2020,,35.87,Sep 2016,4.16,77,42,Sports / Hockey,,,E10+,Mild Violence,
Peggle,Xbox / PC,,Active,Nov 2020,,35.87,Apr 2007,13.59,89,4,Puzzle / Block-Breaking,,,E,,Xbox 360
Peggle 2,Xbox,Touch Controls,Active,Nov 2020,,35.87,Sep 2013,7.17,89,6,Puzzle,,,E,Comic Mischief,
Plants vs. Zombies: Game of the Year Edition,Xbox / PC,,Active,Nov 2020,,35.87,May 2009,11.53,89,8,Strategy / Puzzle,,Enhanced edition only on PC,E10+,"Animated Blood, Cartoon Violence",Xbox 360
Plants vs. Zombies: Battle for Neighborville - Deluxe Edition,Xbox / PC,Yes,Active,Nov 2020,,35.87,Oct 2019,1.07,76,5,Shooter,FPS Boost,Enhanced edition only on PC,E10+,"Fantasy Violence, Comic Mischief",
Plants vs. Zombies: Garden Warfare,Xbox / PC,Yes,Active,Nov 2020,,35.87,Feb 2014,6.73,76,68,Shooter,FPS Boost,Added to cloud 4/7/22,E10+,"Fantasy Violence, Crude Humor, Animated Blood",
Plants vs. Zombies: Garden Warfare 2 - Deluxe Edition,Xbox / PC,Yes,Active,Nov 2020,,35.87,Feb 2016,4.72,80,13,Action,FPS Boost,Enhanced edition only on PC,E10+,"Fantasy Violence, Crude Humor, Animated Blood",
Rocket Arena,Xbox / PC,,Active,Nov 2020,,35.87,Jul 2020,0.33,71,3,First-Person Shooter,,,T,Fantasy Violence,
Sea of Solitude,Xbox / PC,,Active,Nov 2020,,35.87,Jul 2019,1.35,72,3,Adventure,FPS Boost,,T,"Fantasy Violence, Language",
Skate 3,Xbox,Yes,Active,Nov 2020,,35.87,May 2010,10.51,80,9,Skateboarding,,,T,"Crude Humor, Drug Reference, Language, Mild Violence, Suggestive Themes",Xbox 360
SSX,Xbox,,Active,Nov 2020,,35.87,Feb 2012,8.71,82,12,Sports / Snowboarding/Skiing,,,E,"Mild Lyrics, Mild Violence",Xbox 360
Star Wars Battlefront: Ultimate Edition,Xbox / PC,,Active,Nov 2020,,35.87,Nov 2015,4.99,75,15,Action / Shooter,FPS Boost,Enhanced edition only on PC,T,Violence,
Star Wars Battlefront II: Celebration Edition,Xbox / PC,Yes,Active,Nov 2020,,35.87,Nov 2017,2.98,66,6,Action / First-Person Shooter,FPS Boost X Only,Enhanced edition only on PC,T,Violence,Does not FPS boost on Series S
Star Wars Jedi: Fallen Order,Xbox / PC,Yes,Active,Nov 2020,,35.87,Nov 2019,0.99,81,24,Action-Adventure,Optimized,,T,"Mild Language, Violence",
The Sims 4: Deluxe Party Edition,Xbox / PC,Yes,Active,Nov 2020,,35.87,Sep 2014,6.19,66,40,Simulation,,Enhanced edition only on PC,T,"Crude Humor, Sexual Themes, Violence",
Titanfall 2: Ultimate Edition,Xbox / PC,,Active,Nov 2020,,35.87,Oct 2016,4.04,87,6,First-Person Shooter,FPS Boost,Enhanced edition only on PC,M,"Blood and Gore, Language, Violence",
Unravel,Xbox / PC,,Active,Nov 2020,,35.87,Feb 2016,4.76,75,6,Puzzle / Platformer,,,E,Mild Fantasy Violence,
Unravel Two,Xbox / PC,Yes,Active,Nov 2020,,35.87,Jun 2018,2.42,81,5,Puzzle / Platformer,FPS Boost,,E,Mild Fantasy Violence,
Zuma,Xbox,,Active,Nov 2020,,35.87,Dec 2003,16.93,78,5,Puzzle,,,E,,Xbox 360
Zuma's Revenge!,Xbox,,Active,Nov 2020,,35.87,Sep 2009,11.16,76,5,Puzzle,,,E,Mild Cartoon Violence,Xbox 360
Deep Rock Galactic,Xbox / PC,Yes,Active,Nov 2020,,36.03,May 2020,0.48,84,119,First-Person Shooter,,,T,"Violence, Blood, Use of Alcohol, Language",
Day of the Tentacle Remastered,Xbox / PC,,Active,Oct 2020,,36.26,Mar 2016,4.61,84,5,Adventure,,,T,"Fantasy Violence, Suggestive Themes, Use of Tobacco",
Full Throttle Remastered,Xbox / PC,,Active,Oct 2020,,36.26,Apr 2017,3.53,76,4,Adventure,,,T,"Violence, Blood, Mild Language, Use of Alcohol and Tobacco",
Grim Fandango Remastered,Xbox / PC,,Active,Oct 2020,,36.26,Jan 2015,5.76,80,11,Adventure,,,T,"Crude Humor, Fantasy Violence, Mild Language, Mild Suggestive Themes, Use of Alcohol and Tobacco",
Tom Clancy's Rainbow Six: Siege - Deluxe Edition,Xbox / PC,Yes,Active,Oct 2020,,36.49,Dec 2015,4.90,74,8,First-Person Shooter,Optimized,"Ubisoft Connect launcher, joined PC 1/20/21",M,"Blood, Drug Reference, Strong Language, Violence",
Age of Empires III: Definitive Edition,PC,,Active,Oct 2020,,36.72,Oct 2020,0.00,76,11,Strategy / Real-Time Strategy,,,T,"Mild Blood, Violence",
Brütal Legend,Xbox,,Active,Oct 2020,,36.95,Oct 2009,10.99,82,9,Real-Time Strategy / Action-Adventure,,,M,"Blood and Gore, Intense Violence, Partial Nudity, Strong Language, Suggestive Themes",Xbox 360
DOOM Eternal,Xbox / PC,Yes,Active,Oct 2020,,37.18,Mar 2020,0.53,88,14,First-Person Shooter,Optimized,Game Pass Core launch title (9/14/23),M,"Blood and Gore, Intense Violence",
Halo 3: ODST,PC,Yes,Active,Sep 2020,,37.48,Sep 2009,11.01,83,7,Action / First-Person Shooter,,,M,"Blood, Language, Violence",Xbox 360
Crusader Kings III,Xbox / PC,Yes,Active,Sep 2020,,38.17,Sep 2020,0.00,91,13,Strategy,Exclusive,Joined Xbox 3/29/22,M,"Violence, Blood, Sexual Themes, Partial Nudity, Use of Drugs, Language",
Wasteland 3,Xbox / PC,Touch Controls,Active,Aug 2020,,38.30,Aug 2020,0.00,86,37,Role-Playing,FPS Boost,,M,"Blood and Gore, Sexual Content, Use of Drugs, Strong Language, Intense Violence",
Tell Me Why,Xbox / PC,Touch Controls,Active,Aug 2020,,38.33,Aug 2020,0.00,80,9,Adventure,,,M,"Mild Blood, Drug Reference, Strong Language, Violence",
Battletoads,Xbox / PC,Yes,Active,Aug 2020,,38.56,Aug 2020,0.00,73,4,Brawler,,,E10+,"Crude Humor, Mild Language, Animated Blood, Cartoon Violence",
New Super Lucky's Tale,Xbox / PC,Touch Controls,Active,Aug 2020,,38.56,Nov 2019,0.78,76,8,Platformer,FPS Boost,,E,Mild Cartoon Violence,
Microsoft Flight Simulator (2020): Game of the Year Edition,Xbox / PC,Yes,Active,Aug 2020,,38.63,Aug 2020,0.00,92,42,Simulation / Flight Simulator,Optimized,"Joining Xbox Series X|S on 7/27/21, PC 3/1/22",E,,
Trailmakers,Xbox / PC,Yes,Active,Aug 2020,,39.02,Sep 2019,0.88,70,12,Driving/Racing,,,E10+,Fantasy Violence,
Grounded,Xbox / PC,Touch Controls,Active,Jul 2020,,39.32,Jul 2020,0.00,65,7,Action-Adventure,Optimized,"Game Pass Core launch title (9/14/23), Game launches with campaign 9/27/22, game preview up until then",T,"Violence, Blood, Drug Reference, Language",
Forager,Xbox / PC,Yes,Active,Jul 2020,,39.72,Apr 2019,1.25,78,14,Adventure,,,E10+,"Fantasy Violence, Mild Blood, Crude Humor",Humble - Likely 2 years
Halo 3,PC,,Active,Jul 2020,,39.78,Sep 2007,12.81,88,9,First-Person Shooter,,,M,"Blood and Gore, Violence, Language",Xbox 360
Neon Abyss,Xbox / PC,Yes,Active,Jul 2020,,39.78,Jul 2020,0.00,77,12,Action / Platformer,,,T,"Blood and Gore, Simulated Gambling, Violence, Comic Mischief",
Fallout 76,Xbox / PC,Yes,Active,Jul 2020,,39.95,Nov 2018,1.65,68,30,Sci-Fi / Alternate Historical / Post-Apocalyptic,FPS Boost,"Game Pass Core launch title (9/14/23), Official PC Mod Support",M,"Use of Alcohol, Blood and Gore, Suggestive Themes, Drug Reference, Strong Language, Intense Violence",All expansions join gamepass day one
The Bard's Tale ARPG: Remastered and Resnarkled,Xbox / PC,Touch Controls,Active,Jun 2020,,40.64,Jun 2020,0.00,90,14,Role-Playing,,,T,"Blood, Mild Language, Suggestive Themes, Use of Alcohol, Violence",
BattleTech,PC,,Active,Jun 2020,,40.87,Apr 2018,2.13,78,54,Strategy / Role-Playing,,,T,"Violence, Use of Alcohol And Tobacco, Language",
No Man's Sky,Xbox / PC,Yes,Active,Jun 2020,,40.87,Aug 2016,3.84,69,31,Simulation / Action-Adventure,Optimized,,T,"Fantasy Violence, Animated Blood",
Minecraft: Dungeons,Xbox / PC,Touch Controls,Active,May 2020,,41.39,May 2020,0.00,73,5,Role-Playing / Action-Adventure,Optimized,,E10+,Fantasy Violence,Crossplay
Golf With Your Friends,Xbox / PC,Touch Controls,Active,May 2020,,41.62,May 2020,0.00,68,24,Sports / Golf,FPS Boost,Game Pass Core launch title (9/14/23),E10+,"Mild Blood, Mild Fantasy Violence",
Halo 2: Anniversary,PC,,Active,May 2020,,41.85,Nov 2004,15.52,71,8,First-Person Shooter,,,M,"Blood and Gore, Violence, Language",OG Xbox
DayZ,Xbox,Yes,Active,May 2020,,42.02,Dec 2013,6.40,56,66,Role-Playing / Simulation / First-Person Shooter,,,M,"Blood, Strong Language, Violence",
MechWarrior 5: Mercenaries,Xbox / PC,Yes,Active,May 2020,,42.02,Dec 2019,0.41,74,47,Action / Simulation / Shooter,,,T,"Language, Mild Blood, Violence",
Gears Tactics,Xbox / PC,Touch Controls,Active,Apr 2020,,42.31,Apr 2020,0.00,81,23,Strategy,Optimized,,M,"Blood and Gore, Strong Language, Intense Violence",
Totally Reliable Delivery Service,Xbox / PC,Yes,Active,Apr 2020,,43.20,Apr 2020,0.00,60,1,Action / Simulation,FPS Boost,Joined PC 12/1/22,E10+,"Crude Humor, Mild Fantasy Violence",
Bleeding Edge,Xbox / PC,Yes,Active,Mar 2020,,43.46,Mar 2020,0.00,70,7,Action,,,T,"Blood, Violence",
Pikuniku,Xbox / PC,Yes,Active,Mar 2020,,43.86,Jan 2019,1.13,76,3,Puzzle / Platformer,,,E,"Mild Fantasy Violence, Mild Language",
Ori and the Will of the Wisps,Xbox / PC,Yes,Active,Mar 2020,,43.89,Mar 2020,0.00,90,11,Action / Platformer,Optimized,Game Pass Core launch title (9/14/23),E,Mild Fantasy Violence,
Halo: Combat Evolved - Anniversary,PC,,Active,Mar 2020,,44.15,Nov 2001,18.31,79,10,First-Person Shooter,,,M,"Blood and Gore, Violence, Language",OG Xbox
Wasteland Remastered,Xbox / PC,Touch Controls,Active,Feb 2020,,44.38,Feb 2020,0.00,60,19,Strategy / Role-Playing,,,T,"Violence, Blood, Sexual Content, Use of Alcohol, Simulated Gambling",
Wolfenstein: Youngblood,Xbox / PC,Yes,Active,Feb 2020,,45.01,Jul 2019,0.54,68,9,First-Person Shooter,,,M,"Blood and Gore, Strong Language, Intense Violence",
Frostpunk,Xbox / PC,Touch Controls,Active,Jan 2020,,45.93,Apr 2018,1.71,84,10,Simulation,,,M,"Mild Violence, Blood, Mild Sexual Themes, Strong Language",
Phoenix Point,Xbox / PC,Touch Controls,Active,Dec 2019,,46.59,Dec 2019,0.05,74,32,Strategy,,Joined console 10/1/21,T,"Blood, Violence, Language",
Totally Accurate Battle Simulator,Xbox / PC,Touch Controls,Active,Dec 2019,,46.59,Apr 2019,0.72,76,5,Strategy / Simulation,,,T,Violence,
Pillars of Eternity: Complete Edition,Xbox / PC,Touch Controls,Active,Dec 2019,,46.62,Mar 2015,4.74,86,36,Role-Playing,,,M,"Blood, Sexual Themes, Strong Language, Violence",
Overcooked! 2,Xbox / PC,Touch Controls,Active,Dec 2019,,46.85,Aug 2018,1.35,83,7,Simulation,FPS Boost,Game Pass Core launch title (9/14/23),E,,
Halo: Reach,PC,,Active,Dec 2019,,47.15,Sep 2010,9.22,91,8,Action / Shooter / First-Person Shooter,,,M,"Blood and Gore, Violence, Language",Xbox 360
Age of Empires II: Definitive Edition,Xbox / PC,,Active,Nov 2019,,47.77,Nov 2019,0.00,84,36,Strategy,,Joined console 1/31/23,T,"Mild Blood, Mild Language, Violence",
RAGE 2,Xbox / PC,Yes,Active,Nov 2019,,47.77,May 2019,0.50,72,10,First-Person Shooter,,,M,"Blood and Gore, Suggestive Themes, Strong Language, Intense Violence",
The Outer Worlds,Xbox / PC,Yes,Active,Oct 2019,,48.43,Oct 2019,0.00,85,12,Role-Playing / First-Person Shooter,,,M,"Blood and Gore, Strong Language, Intense Violence",
Lonely Mountains: Downhill,Xbox / PC,Yes,Active,Oct 2019,,48.49,Oct 2019,0.00,79,6,Sports / Driving/Racing,,,E10+,Mild Blood,
Fallout: New Vegas - Ultimate Edition,Xbox / PC,Yes,Active,Oct 2019,,48.69,Oct 2010,9.00,84,28,Role-Playing / First-Person Shooter,FPS Boost,"Official PC Mod Support, enhanced edition only on PC",M,"Blood and Gore, Intense Violence, Strong Language, Use of Drugs, Sexual Content",Xbox 360
Dishonored 2,Xbox / PC,Yes,Active,Oct 2019,,49.15,Nov 2016,2.89,88,13,Action-Adventure,,Game Pass Core launch title (9/14/23),M,"Blood and Gore, Suggestive Themes, Strong Language, Intense Violence",
Gears 5: Game of the Year Edition,Xbox / PC,Touch Controls,Active,Sep 2019,,49.91,Sep 2019,0.00,83,11,Action,Optimized,Game Pass Core launch title (9/14/23),M,"Blood and Gore, Strong Language, Intense Violence",
Dead Cells,Xbox / PC,Touch Controls,Active,Sep 2019,,50.07,May 2017,2.32,91,13,Platformer / Action-Adventure,,"Game Pass Core launch title (9/14/23), Left EA Play 10/23/21",T,"Blood and Gore, Language, Violence",
The Bard's Tale IV: Director's Cut,Xbox / PC,Touch Controls,Active,Aug 2019,,50.37,Sep 2018,0.94,70,60,Role-Playing,,,T,"Use of Alcohol, Blood, Violence, Language",
Age of Empires: Definitive Edition,PC,,Active,Aug 2019,,50.63,Feb 2018,1.50,83,40,Strategy,,,T,"Blood, Mild Violence",
Stellaris,Xbox / PC,Yes,Active,Aug 2019,,50.63,May 2016,3.28,81,21,Strategy,Optimized,,E10+,"Violent References, Mild Language",
Slay the Spire,Xbox / PC,Touch Controls,Active,Aug 2019,,50.79,Nov 2017,1.75,88,11,Strategy / Card Game,,"Game Pass Core launch title (9/14/23), Left EA Play 10/23/21",E10+,"Fantasy Violence, Mild Blood, Tobacco Reference",
The Bard's Tale Trilogy,Xbox / PC,Touch Controls,Active,Aug 2019,,50.83,Aug 2018,1.00,70,24,Role-Playing,,,T,"Fantasy Violence, Use of Alcohol, Simulated Gambling",
Killer Instinct 2 Classic,Xbox,,Active,Jul 2019,,51.45,Nov 2013,5.67,59,1,Fighting,,,M,"Blood and Gore, Suggestive Themes, Violence",
Killer Instinct Classic,Xbox,,Active,Jul 2019,,51.45,Oct 1994,24.76,85,1,Fighting,,,M,"Blood and Gore, Suggestive Themes, Mild Crude Humor, Violence",Arcade
Killer Instinct (2013): Definitive Edition,Xbox / PC,Touch Controls,Active,Jul 2019,,51.45,Nov 2013,5.67,86,2,Fighting,,,M,"Blood and Gore, Suggestive Themes, Violence, Mild Language, Mild Crude Humor",
Middle-earth: Shadow of War,Xbox / PC,Yes,Active,Jul 2019,,52.14,Oct 2017,1.73,81,21,Action / Role-Playing / Action-Adventure,,,M,"Blood and Gore, Intense Violence",
My Time at Portia,Xbox / PC,Yes,Active,Jul 2019,,52.14,Apr 2019,0.22,73,64,Role-Playing / Simulation,FPS Boost,,E10+,"Fantasy Violence, Crude Humor, Alcohol Reference, Mild Suggestive Themes",
Torment: Tides of Numenera,Xbox / PC,Touch Controls,Active,Jun 2019,,52.37,Feb 2017,2.33,81,26,Role-Playing,,"Joined Xbox and cloud 7/21/22, originally only on PC",M,"Blood, Sexual Themes, Violence, Language",
Perfect Dark,Xbox,Yes,Active,Jun 2019,,52.60,Aug 2000,18.82,79,9,Action / Shooter,,,M,"Blood, Violence",Nintendo 64
Rare Replay,Xbox,,Active,Jun 2019,,52.60,Aug 2015,3.88,84,44,Compilation,,,M,"Violence, Blood, Language, Use of Alcohol, Use of Tobacco",
ASTRONEER,Xbox / PC,Yes,Active,Jun 2019,,52.96,Dec 2016,2.48,72,19,Adventure,,Game Pass Core launch title (9/14/23),E,Mild Fantasy Violence,
Batman: Arkham Knight,Xbox,Yes,Active,Jun 2019,,52.96,Jun 2015,3.96,85,17,Action-Adventure,,,M,"Blood, Suggestive Themes, Violence, Language",
Halo: Spartan Strike,PC,,Active,Jun 2019,,52.96,Apr 2015,4.15,66,6,Action / Dual-Joystick Shooter,,,E10+,"Fantasy Violence, Mild Blood",
Hollow Knight: Voidheart Edition,Xbox / PC,Yes,Active,Jun 2019,,52.96,Feb 2017,2.29,90,25,Platformer / Action-Adventure,FPS Boost,,E10+,"Fantasy Violence, Mild Blood",
Moonlighter,Xbox / PC,Yes,Active,Jun 2019,,52.96,May 2018,1.03,84,14,Action / Role-Playing,,Left EA Play 10/23/21,E10+,Fantasy Violence,
Rise of Nations: Extended Edition,PC,,Active,Jun 2019,,52.96,May 2003,16.07,89,18,Strategy / Real-Time Strategy / Trivia/Board Game,,,T,"Blood and Gore, Violence",PC
Dead by Daylight: Special Edition,Xbox / PC,Yes,Active,May 2019,,53.29,Jun 2016,2.96,58,608,Action,Optimized,,M,"Blood and Gore, Strong Language, Intense Violence",
