name,developer,publisher
Ultra Street Fighter IV,Capcom,Capcom
Unbound Saga,Vogster Entertainment,Microsoft Game Studios
Under Defeat HD (Deluxe Edition),G.rev,"Rising Star Games, G.rev"
The UnderGarden,Artech Studios/Vitamin G Studios,Atari
Undertow,Chair Entertainment,Microsoft Game Studios
Universe at War: Earth Assault,Petroglyph Games,Sega
Uno,Carbonated Games,Microsoft Game Studios
Uno Rush,Microsoft Game Studios,Microsoft Game Studios
Unreal Tournament 3,Epic Games,Midway Games
Up,Heavy Iron Studios,THQ
Valiant Hearts: The Great War,Ubisoft Montpellier,Ubisoft
Vampire Rain,Artoon,AQ Interactive
Vancouver 2010,Eurocom,Sega
Vandal Hearts: Flames of Judgment,Hijinx Studios,Konami
Vanquish,PlatinumGames,Sega
Velvet Assassin,Replay Studios,SouthPeak Games
Venetica,Deck13,Rombax Games
Victorious: Time to Shine,High Voltage Software,D3 Publisher
Vigilante 8 Arcade,Isopod Labs,Activision
Viking: Battle for Asgard,Creative Assembly,Sega
Virtua Fighter 2,Sega AM2,Sega
Virtua Fighter 5 Final Showdown,Sega AM2,Sega
Virtua Fighter 5 Online[note 40],Sega-AM2,Sega
Virtua Striker,Sega AM2,Sega
Virtua Tennis 2009,Sumo Digital,Sega
Virtua Tennis 3,Sumo Digital,Sega
Virtua Tennis 4,SEGA-AM3,Sega
Virtual-On Oratorio Tangram Ver.5.66,Sega AM2,Sega
Viva Piñata,Rare,Microsoft Game Studios
Viva Piñata: Party Animals,Krome Studios,Microsoft Game Studios
Viva Piñata: Trouble in Paradise,Rare,Microsoft Game Studios
The Voice I Want You,Activision,Activision
Voltron: Defender of the Universe,Behaviour Interactive,THQ
Voodoo Dice,Exkee,Ubisoft
W.L.O. Sekai Renai Kikō,5pb./Akabeisoft2,5pb.
The Walking Dead,Telltale Games,Telltale Games
The Walking Dead: Michonne – A Telltale Miniseries,Telltale Games,Telltale Games
The Walking Dead: Season Two,Telltale Games,Telltale Games
The Walking Dead: Survival Instinct,Terminal Reality,Activision
WALL-E,Heavy Iron Studios,THQ
Wallace & Gromit's Grand Adventures Episode 1: Fright of the Bumblebees,Telltale Games,Microsoft Game Studios
Wallace & Gromit's Grand Adventures Episode 2: The Last Resort,Telltale Games,Microsoft Game Studios
Wallace & Gromit's Grand Adventures Episode 3: Muzzled!,Telltale Games,Microsoft Game Studios
Wallace & Gromit's Grand Adventures Episode 4: The Bogey Man,Telltale Games,Microsoft Game Studios
Wanted: Weapons of Fate,GRIN,Warner Bros. Interactive Entertainment
Warface,Blackwood Games,Crytek
"Warhammer 40,000: Kill Team",Relic Entertainment/THQ Digital Studios UK,Sega
"Warhammer 40,000: Space Marine",Relic Entertainment,THQ
Warhammer: Battle March[note 41],Namco Bandai Games,Namco Bandai Games
Warlords (2012),Griptonite Games/Atari,Atari
Warlords,Stainless Games/Atari,Atari
War of the WorldsThe War of the Worlds,Other Ocean Interactive,Paramount Digital Entertainment
War World,Third Wave Games,Ubisoft
Warp,trapdoor,Electronic Arts
Warriors Orochi[note 42],Omega Force,Koei
Warriors Orochi 2[note 43],Omega Force,Koei
Warriors Orochi 3[note 44],Omega Force,Tecmo Koei
Warriors: Legends of Troy,Koei Canada,Tecmo Koei
The Warriors: Street Brawl,CXTM,Paramount Digital Entertainment
WarTech: Senko no Ronde,G.rev,Ubisoft
Watch Dogs,Ubisoft Montreal,Ubisoft
Watchmen: The End Is Nigh - Part I,Deadline Games,Warner Bros. Interactive Entertainment
Watchmen: The End Is Nigh - Part II,Deadline Games,Warner Bros. Interactive Entertainment
Watchmen: The End Is Nigh Parts 1 and 2,Deadline Games,Warner Bros. Interactive Entertainment
Way of the Dogg,Echo Peak,505 Games
Way of the Samurai 3,Acquire,Spike
Wet,Artificial Mind and Movement,Bethesda Softworks
Wheel of Fortune,Pipeworks Software,THQ
Wheelman,Tigon Studios,Midway Games
Where the Wild Things Are,Amaze Entertainment,Warner Bros. Interactive Entertainment
Who Wants to Be a Millionaire? 2012 Edition,Ubisoft,Ubisoft
Who Wants to Be a Millionaire?Special Editions,Doublesix,Deep Silver
Wik and the Fable of Souls,Reflexive Entertainment,Microsoft Game Studios
Wing Commander Arena,Gaia Industries,Electronic Arts
Winning Post World 2010,Koei,Koei
Winter Sports 2: The Next Challenge[note 45],49 Games,Conspiracy Entertainment
Winter Sports 2010,49 Games,RTL Entertainment
Winter Sports 2011,Zoo Games,RTL Entertainment
Winter Stars,49 Games,Deep Silver
Wipeout 2,Activision,Activision
Wipeout 3,Activision,Activision
Wipeout: Create & Crash,Activision,Activision
Wipeout in the Zone,Activision,Activision
The Witcher 2: Assassins of Kings,CD Projekt Red,Warner Bros. Interactive Entertainment
Wits and Wagers,Hidden Path Entertainment,Microsoft Game Studios
The Wolf Among Us,Telltale Games,Telltale Games
Wolf of the Battlefield: Commando 3,Backbone Entertainment,Capcom
Wolfenstein,Raven Software,Activision
Wolfenstein 3D,id Software,Bethesda Softworks
Wolfenstein: The New Order,MachineGames,Bethesda Softworks
Word Puzzle,InterServ,Microsoft Game Studios
"World Championship Poker: Featuring Howard Lederer ""All In""",Crave Entertainment,Crave Entertainment
World Gone Sour,Playbrains,Capcom
"World of Keflings, AA World of Keflings",NinjaBee,Microsoft Game Studios
World of Outlaws: Sprint Cars,Big Ant Studios,THQ
World of Tanks,Wargaming West,Microsoft Studios
World Series of Poker 2008: Battle for the Bracelets,Left Field Productions,Activision
World Series of Poker: Full House Pro,Pipeworks Software,Microsoft Studios
World Series of Poker: Tournament of Champions,Left Field Productions,Activision
World Snooker Championship 2007,Blade Interactive,Sega Europe
Worms,Team17,Microsoft Game Studios
Worms 2: Armageddon,Team17,Microsoft Game Studios
Worms Revolution,Team17,Warner Bros. Interactive Entertainment
Worms Ultimate Mayhem,Team17,Microsoft Studios
WRC 2: FIA World Rally Championship,Milestone srl,Black Bean Games
WRC 3: FIA World Rally Championship,Milestone srl,Black Bean Games
WRC 4: FIA World Rally Championship,Milestone srl,Bigben Interactive
WRC 5,Kylotonn,Bigben Interactive
WRC FIA World Rally Championship,Milestone srl,Black Bean Games
WRC Powerslide,Milestone srl,Milestone srl
Wreckateer,Iron Galaxy,Microsoft Studios
Wrecked: Revenge Revisited,Supersonic Software,505 Games
Wrestle Kingdom[note 46],Yuke's,Yuke's
WSC REAL 09: World Snooker Championship[note 47],Blade Interactive,Koch Media
WSC Real 11: World Snooker Championship,Blade Interactive,Koch Media
WWE '12,Yuke's,THQ
WWE '13,Yuke's,THQ
WWE 2K14,Yuke's,2K Sports
WWE 2K15,Yuke's,2K Sports
WWE 2K16,Yuke's,2K Sports
WWE 2K17,Yuke's,2K Sports
WWE All Stars,THQ San Diego,THQ
WWE Legends of WrestleMania,Yuke's,THQ
WWE SmackDown vs. Raw 2007,Yuke's,THQ
WWE SmackDown vs. Raw 2008,Yuke's,THQ
WWE SmackDown vs. Raw 2009,Yuke's,THQ
WWE SmackDown vs. Raw 2010,Yuke's,THQ
WWE SmackDown vs. Raw 2011,Yuke's,THQ
X-Blades,Gaijin Entertainment,TopWare Interactive
XCOM: Enemy Unknown,Firaxis Games,2K Games
XCOM: Enemy Within,Firaxis Games,2K Games
Xevious,Bandai Namco Entertainment,Bandai Namco Entertainment
The X-Factor,Hydravision,Deep Silver
X-Men,Konami/Backbone Entertainment,Konami
X-Men: Destiny,Silicon Knights,Activision
X-Men: The Official Game,Z-Axis,Activision
X-Men Origins: Wolverine,Raven Software,Activision
Xotic,WXP Games,Valcon Games
Yaiba: Ninja Gaiden Z,"Team Ninja, Spark Unlimited, Comcept",Tecmo Koei
Yaris,Castaway Entertainment/Backbone Emeryville,Castaway Entertainment
Yar's Revenge,Killspace Entertainment,Atari
Yie Ar Kung-Fu,Konami/Digital Eclipse,Konami
Yo-Ho Kablammo,Canalside Studios,Microsoft Game Studios
Yoostar 2,Blitz Games Studios,Yoostar Entertainment Group
Yoostar on MTV,Blitz Games Studios,Yoostar Entertainment Group
Yosumin! Live,Square Enix,Square Enix
You Don't Know Jack,Jellyvision Games,THQ
Young Justice: Legacy,Freedom Factory Studios,Warner Bros. Interactive Entertainment
Your Shape: Fitness Evolved,Ubisoft Montreal,Ubisoft
Your Shape Fitness Evolved 2012,Ubisoft Montreal,Ubisoft
You're in the Movies,Zoë Mode,Codemasters
Yu-Gi-Oh! 5D's Decade Duels,Konami,Konami
Yu-Gi-Oh! 5D's Decade Duels Plus,Konami,Konami
Yu-Gi-Oh! Millennium Duels,Konami,Konami
Zegapain NOT,Namco Bandai Games,Namco Bandai Games
Zegapain XOR,Cavia,Namco Bandai Games
Zeit²,Brightside Games,Ubisoft
ZEN Pinball 2: Super League Football,Zen Studios,Zen Studios
Zeno Clash 1Zeno Clash: Ultimate Edition,ACE Team,Atlus
Zeno Clash 2Zeno Clash II,ACE Team,Atlus
Zoids Assault,Tomy,Tomy
Zoids Infinity EX Neo,Tomy,Tomy
Zombie Apocalypse,Nihilistic Software,Konami
Zombie Apocalypse: Never Die Alone,Backbone Entertainment,Konami
Zombie Driver HD,Exor Studios,Cyberfront Corporation
Zombie Wranglers,Frozen Codebase,Activision
Zone of the Enders HD Collection[note 48],"Kojima Productions, High Voltage Software, Hexa Drive",Konami
Zoo Tycoon,Frontier Developments,Microsoft Studios
Zuma,PopCap Games,Microsoft Game Studios
Zuma's Revenge!,PopCap Games,PopCap Games
Zumba Fitness,Pipeworks Software,"Majesco Entertainment, 505 Games"
Zumba Fitness Core,Zoë Mode,Majesco Entertainment
Zumba Fitness Rush,Pipeworks Software,"Majesco Entertainment, 505 Games"
Zumba Fitness: World Party,Zoë Mode,Majesco Entertainment
Zumba Kids,Zoë Mode,Majesco Entertainment
