name,metascore
LEGO Marvel Super Heroes,80
Deus Ex: Human Revolution - Director's Cut,88
Censored,tbd
Block Shift,tbd
Maya Challenge,tbd
Alien Rage,80
BattleShip Arcade,tbd
Hexodius,82
Star Wars Pinball: Balance of the Force,88
Monster Hunter Frontier G3,tbd
Astralis (2013),tbd
Pinball FX 2: Star Wars Pinball - Balance of the Force,tbd
Who Wants to Be a Millionaire? Special Editions,88
Avatar Galaxy,tbd
Metro: Last Light - Chronicles Pack,tbd
Wipeout: Create & Crash,tbd
Air Conflicts: Vietnam,91
Cabela's African Adventures,tbd
I Want It!,tbd
Generic Space Shooter,tbd
Skylanders Swap Force,83
Snowboard 2D,tbd
The Wolf Among Us: Episode 1 - Faith,85
Ariane Odyssey,tbd
Avatar Deathmatch CITY,tbd
Let's Sing and Dance,tbd
Orc Attack: Flatulent Rebellion,87
Batman: Arkham Dual Pack,tbd
Just Dance 2014 (French),79
F1 2013,79
Capcom Essentials,tbd
Borderlands 2: Game of the Year Edition,tbd
M.A.C.E.,tbd
SUPER SPRINT COMMANDO EXTREME,tbd
Save Them Sheeps,tbd
Puzzle Perfection,tbd
EOL,tbd
A.R.E.S. Extinction Agenda EX,85
Avatars In Grave Danger,tbd
NBA 2K14,84
Painkiller: Hell & Damnation,85
Assassin's Creed: Ezio Trilogy,tbd
Grand Theft Auto Online,80
Tom Clancy's Ghost Recon Trilogy,tbd
Invisipong,tbd
Defend Earth or Die!,tbd
X S.E.E.D,tbd
Poker Date,tbd
The Heckler,tbd
Angry Blocks,tbd
CastleStorm: The Warrior Queen,tbd
Pac-Man Championship Edition DX,93
Ascend: Hand of Kul,85
Girl Fight,98
Dwarf Madness,tbd
Phantom Breaker: Extra,tbd
Pro Evolution Soccer 2014,78
Star Runner (2013),tbd
The Useful Dead,tbd
FIFA 14,84
Armored Core: Verdict Day,83
SuPeCa,tbd
Unholy Heights,85
Cooties: Patient Zero,tbd
Crystal Quest (2013),tbd
Six O'Clock High,91
Marlow Briggs and the Mask of Death,79
Paint Wars,tbd
Arrow Diamond,tbd
Magic: Duels of the Planeswalkers 2014 - Expansion,tbd
Foul Play,85
Grand Theft Auto V,97
Metro: Last Light - Developer Pack,tbd
Hot Wheels: World's Best Driver,94
Valkyrius,tbd
Ninja STG: Ninja-bu Takeemon no Ichiban Nagaika,tbd
Power-Up,tbd
AFL Live 2,tbd
Learn To Eat,tbd
Dirchie Kart 2,tbd
Disney DuckTales: Remastered,75
Project Rap,tbd
NHL 14,81
Zombie Driver HD: Tropical Race Rage,tbd
Thunder Moon Online,tbd
Architektris,tbd
Avatar Survival Games,tbd
Freefall Racers,38
Contract: Void Justice,tbd
Retro Racer Combat,tbd
Pablo's Fruit,tbd
Avatar Honor and Duty,tbd
WSOP: Full House Pro,tbd
World Series of Poker: Full House Pro,tbd
Avatar Honor and Duty,tbd
Diablo III,88
Metro: Last Light - Tower Pack,tbd
Rayman Legends,92
Dead or Alive 5 Ultimate,77
Borderlands 2: Ultimate Vault Hunter Upgrade Pack 2 - Digistruct Peak Challenge,tbd
Mechanician Alex,tbd
StarDeath 3000,tbd
Omerta: City of Gangsters - Serious Business,tbd
Hurdle Turtle: Celebrations!,tbd
B&B Fatfree,tbd
Teenage Mutant Ninja Turtles: Out of the Shadows,87
Paper Galactica,tbd
Killer Is Dead,85
Lost Planet 3,82
Call of Duty: Black Ops II - Apocalypse,79
Madden NFL 25,80
The Outer Rim (2013),tbd
Smash-A-Seal,tbd
Audio Challenge,tbd
Annunaki's Errands,tbd
Catch A Cold,tbd
Phineas and Ferb: Quest for Cool Stuff,tbd
Disorder 6,tbd
X-Orbtek II,tbd
Magicians & Looters,tbd
Flashback,80
The Bureau: XCOM Declassified,82
Tom Clancy's Splinter Cell: Blacklist,82
Stick 'Em Up Arena 2: Jetpacks!,tbd
Tales of The Orange Forest,tbd
Halo 4: Champions Bundle,tbd
Defiance: Castithan Charge Pack,tbd
Saints Row IV,86
Disney Infinity,75
ERMAHGERD PONIES!,tbd
The Unbreakable Chain,tbd
Mark of the Ninja: Special Edition,tbd
Reflector,tbd
Tropico 4: Propaganda!,tbd
Unicorn Makeout Mania,tbd
Charlie Murder,78
The Last Fortune,tbd
Wiwi's Adventures 3,tbd
Payday 2,79
Injustice: Gods Among Us - Zatanna,tbd
Dishonored: The Brigmore Witches,81
A Light Start,tbd
Squeebels,tbd
Dawn Of The Fred,tbd
Brothers: A Tale of Two Sons,86
Demon Dash,tbd
Dark Storm Blast 360,tbd
Word Cheat,tbd
Space Pilots,tbd
The Shopping Dead (2013),tbd
Fist Puncher,100
Indiemon Villain Version,tbd
Papercraft Monsters,tbd
GravityPong,tbd
Narco Terror,94
Cloudberry Kingdom,75
CastleStorm: From Outcast to Savior,tbd
Monkey Nuts (2013),tbd
BioShock Infinite: Clash in the Clouds,82
Dynasty Warriors 8: New Stage & BGM Pack 1,tbd
Deadpool: Merc with a Map Pack,tbd
Beat Hazard Ultra,91
Injustice: Gods Among Us - Martian Manhunter,tbd
Action Arcade Wrestling 2,tbd
Magic Racing Rally,tbd
Tatakai Tank Rush!,tbd
Zeno Clash II,85
Mars: War Logs,85
BLOOD&BACON,tbd
Gem Chaser II,tbd
Journey To The Top: QFTLG,tbd
ZombieMonkeys Out of the Trees,tbd
Sexy Island Adventure,tbd
Blocks and Big Robots,tbd
Tropico 4: Voodoo,tbd
Vintage Hero,tbd
Aliens: Colonial Marines - Stasis Interrupted,tbd
The Smurfs 2,95
Alien Spidy: Between a Rock and a Hard Place,tbd
GRID 2: Peak Performance Pack,tbd
Injustice: Gods Among Us - S.T.A.R. Labs Missions,tbd
Serious Sam Collection,76
Space Hordes,tbd
2 in 1 Trivia All-Stars,tbd
Avatar Physics: Running,tbd
Alien OverKILL (2013),tbd
Avatar Tennis!,tbd
Reflection  (2013),tbd
Zombominous 2,tbd
R.I.P.D. The Game,94
Metro: Last Light - Faction Pack,97
Alien Spidy: Easy Breezy,tbd
GORY CYBER WEST,tbd
Turbo: Super Stunt Squad,90
Dynasty Warriors 8,90
Fishy Warfare,tbd
Tokyo Hosto,tbd
Dark Quest,tbd
"Man, I Hate That Indie Game!",tbd
Monkey Poo Flinger,tbd
BULKHEAD Survival,tbd
Pacific Rim,98
Insecticide,tbd
Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien - Good Friends Character Pack,tbd
Monster Hunter Frontier G2,tbd
GRID 2: Drift Pack,tbd
NCAA Football 14,77
DARK (2013),96
Apocalyptic Path: ToF,tbd
"Feelin' Lucky, Punk?",tbd
Magnetized,tbd
Psychic Warrior Susan,tbd
Capsized,80
The Walking Dead: 400 Days,78
Injustice: Gods Among Us - Zod,tbd
Scourge: Outbreak,94
Toy Plane,tbd
Call of Duty: Black Ops II - Vengeance,87
Dungeon Smash ~ Dark Isles,tbd
comet turn,tbd
The Co-Op Zombie Game,tbd
Ride to Hell: Retribution - Cook's Mad Recipe,tbd
Le Tour de France 2013 - 100th Edition: Criterium International,tbd
Doodle Jump for Kinect,95
DERP of DUTY,tbd
Boss,tbd
Magic: Duels of the Planeswalkers 2014,83
Spartacus Legends,98
Uncraft Me !,tbd
Ride to Hell: Retribution,96
GRID 2: Super Modified Pack,tbd
Gears of War: Judgment - Lost Relics,tbd
Deadpool,85
Borderlands 2: Tiny Tina's Assault on Dragon Keep,86
Kinect Sports Gems: Boxing Fight,tbd
One Finger Death Punch,tbd
VOX STUDIOS: RAID,tbd
Doomed Zombies,tbd
Sector 7-4-9er,tbd
Saturn 9,tbd
MotoGP 13,85
Omerta: City of Gangsters - The Con Artist,tbd
Enigma Dungeons,tbd
Dungeons & Dragons: Chronicles of Mystara,77
Bridge Physics,tbd
Avatar Warfare!,tbd
Jimmy vs. Zombies,tbd
Hunter's Trophy 2 - Europa,tbd
Rasternauts,tbd
Make It Rain,tbd
Fireburst,96
Atomic Blast,tbd
Storm,75
Rugby Challenge 2: The Lions Tour Edition,tbd
Ginga Force & Eschatos Wonder Pack,tbd
Mystic Cards (2013),tbd
AppPack 3,tbd
Thunder Wolves,85
Flyby (2013),tbd
Aliens: Colonial Marines - Movie Map Pack,tbd
Penny Arcade Adventures: Episode Four,86
Injustice: Gods Among Us - Scorpion,tbd
Zombie Driver HD: Apocalypse Pack,tbd
Fanny Granny's Great Escape,tbd
Aqua Kitty: Milk Mine Defender,tbd
Toxic Trash,tbd
Thunder Moon,tbd
Mount Your Friends,tbd
Halo: Origin Pack,tbd
State of Decay,78
DoCoNoid,tbd
The Chickening,tbd
Get Your Cell Together,tbd
Tomb Raider: Tomb of the Lost Adventurer,tbd
Remember Me,90
Crysis 3: The Lost Island,tbd
Dollar Dash: Robbers Tool Kit,tbd
Island Adventure III,tbd
Cops N Robbers,tbd
Omerta: City of Gangsters - Damsel in Distress,tbd
DoDonPachi Saidaioujou,tbd
Shooting Love. 10-Shuunen: XIIZeal & DeltaZeal,tbd
Hunter's Trophy 2 - Australia,tbd
CastleStorm,79
GRID 2: GTR Racing Pack,tbd
GRID 2,78
Fuse (2013),86
GRID 2: IndyCar Pack,tbd
Avatar Mayhem,tbd
GRID 2: Headstart Pack,tbd
GRID 2: McLaren Racing Pack,tbd
Gears of War: Judgment - Dreadnought DLC Pack,tbd
Warped Retro,tbd
Avatar Arena Action,tbd
Zombie Parking Lot,tbd
Murderous Market,tbd
Call of Juarez: Gunslinger,76
Bulbs (2013),tbd
Reality Bytes,tbd
Hop Til You Drop,tbd
Capcom Arcade Cabinet: All-In-One Pack,tbd
Injustice: Gods Among Us - Batgirl,tbd
Fast & Furious: Showdown,94
Resident Evil: Revelations,82
Dollar Dash: More Ways to Win,tbd
Injustice: Gods Among Us - Red Son Pack,tbd
Worms Collection,80
Avatar Miner Paintball,tbd
Guns N Noses,tbd
Hunter's Trophy 2 - America,tbd
Airport Anarchy,tbd
Hunter's Trophy 2 - America,tbd
Happy Pong,tbd
Muv-Luv Alternative: Total Eclipse,tbd
Mahjong Moves,tbd
Pushmasters,tbd
Dinora,tbd
Sanctum 2,77
Jimmie Johnson's Anything With an Engine: Agent Fallon,tbd
Jimmie Johnson's Anything With an Engine: Jungle Kat,tbd
Metro: Last Light,82
Metal Gear Rising: Revengeance - Blade Wolf,tbd
Borderlands 2: Psycho Pack,tbd
Aah! Who's that Character?,tbd
Bug Zapper (2013),tbd
The Blitz,tbd
Avatar and the Deadly Tomb,tbd
Bug Off (2013),tbd
Zombie Outback,tbd
Monaco: What's Yours Is Mine,83
the monastery,tbd
Indiemon Card Adventure,tbd
Lootfest2,tbd
Blocks and Tanks,tbd
Adamant Ants 2,tbd
Blocks and Tanks,tbd
Aliens: Colonial Marines - Reconnaissance Pack,tbd
Tomb Raider: Shipwrecked Multiplayer Map Pack,tbd
Orbit Crash,tbd
Injustice: Gods Among Us - Lobo,tbd
Naoki Tales,tbd
Super Robot World,tbd
Avatars on the edge,tbd
Write your own music,tbd
Way of the Dogg,90
Exizency,tbd
Omerta: City of Gangsters - The Arms Industry,tbd
Worms: The Revolution Collection,tbd
Far Cry 3: Blood Dragon,80
Army of Two: The Devil's Cartel - Overkillers Pack,tbd
Gears of War: Judgment - Call to Arms,76
Army of Two: The Devil's Cartel - Hitmakers Pack,tbd
Planet Wars,tbd
Marshmallow Duel,tbd
Aliens vs. Romans,tbd
Avatar Trials: Ninja Uprising,tbd
JamSouls !,tbd
Magnetic By Nature: Awakening,tbd
Mini Wizards,tbd
Virus Attack (2013),tbd
STEINS;GATE: Linear Bounded Phenogram,tbd
Centroid,tbd
Bid Whist (2013),tbd
Poker Night 2,75
Learn Indo European Language,tbd
Assassin's Creed III - The Redemption,80
Dragon's Dogma: Dark Arisen,81
Star Trek The Video Game,96
Dead Island: Riptide,80
Heroes Of Rock,tbd
Heart Breaker,tbd
Gravity Fighters (2013),tbd
Tonk,tbd
Itano Alpha Flight,tbd
Avatar Rumble 2,tbd
Terranon Worlds,tbd
Flippin Shadows,tbd
God Mode,94
MPL Slots #1,tbd
Hack This Game Collection,tbd
Planetary Shield,tbd
Monster Hunter Frontier G,tbd
The Keep: Zombie Horde,tbd
Capcom Arcade Cabinet: Game Pack 5,tbd
Totally Tanked,tbd
War Rapier 43210,tbd
Zombie Compound,tbd
Sacred Citadel,83
Larry's Loot,tbd
Sacred Citadel: Jungle Hunt,tbd
Injustice: Gods Among Us,81
Discovery+,tbd
The Walking Dead: Survival Instinct - Walker Herd Survival Pack,tbd
Dishonored: The Knife of Dunwall,80
Call of Duty: Black Ops II - Uprising,76
Forza Horizon: 1000 Club,tbd
S.D.G.T.,tbd
Sniper: Ghost Warrior 2 - Multiplayer Expansion Pack,tbd
EZ Message Sender,tbd
Zombie Estate II,tbd
Avatar Pro Wrestling,tbd
Motocross Madness (2013),90
Metal Gear Rising: Revengeance - Jetstream,80
Halo 4: Castle Map Pack,tbd
Uproar!,tbd
Double Dragon II: Wander of the Dragons,93
Path of King Arthur,tbd
Indiemon: Earth Nation,tbd
Smatter,tbd
Aircraft RC,tbd
Retro Arcade Adventure Remade,tbd
Capcom Arcade Cabinet: Game Pack 4,tbd
BattleBlock Theater,85
Wizard Monkeys,tbd
Tomb Raider: 1939 Multiplayer Map Pack,tbd
Defiance,89
Borderlands 2: Ultimate Vault Hunter Upgrade Pack,tbd
Ninja Gaiden 3: Razor's Edge,80
Forza Horizon: April Top Gear Car Pack,tbd
Seeds of Ralark,tbd
Fist of the North Star: Ken's Rage 2 - Amiba - Playable Character,tbd
Learning can be fun,tbd
Learn the Controller,tbd
Quiet Christmas,tbd
Word Search (2013),tbd
Undead Legions,tbd
Gears of War: Judgment - Haven DLC Pack,tbd
Love*Tra: Chocolate,tbd
Famous Celeb Quiz,tbd
Cave Shooting Collection,tbd
Tom Clancy's Ghost Recon Double Pack,tbd
Flip Cup (2013),tbd
How to Get a Girlfriend,tbd
Terraria,81
Death Goat,tbd
Who Wants To Be A Junior Millionaire?,tbd
Rise of the Ravager,tbd
Beach Bubbles 3,tbd
Sniper: Ghost Warrior 2 - Siberian Strike,tbd
Battlefield 3: End Game,78
BioShock Infinite,94
Tiger Woods PGA Tour 14,77
"Faster, Robot! Kill! Kill!",tbd
Army of Two: The Devil's Cartel,84
Final Fantasy XI: Ultimate Collection Seekers Edition,tbd
Final Fantasy XI: Seekers of Adoulin,tbd
Summer Stars 2012,tbd
Fist of the North Star: Ken's Rage 2 - New Mission Pack 2,tbd
Zombie Block Planet,tbd
Search and Seek - Toddler Style,tbd
Gem Chaser,tbd
Dead Sea II - Mutation,tbd
Zippy Push Kid,tbd
Giana Sisters: Twisted Dreams,77
Capcom Arcade Cabinet: Game Pack 3,tbd
Alien Spidy,95
Port Royale 3: Pirates and Merchants - Dawn of Pirates,tbd
Loot Grinder,tbd
The Walking Dead: Survival Instinct,96
Island Adventure II: Karma,tbd
Tomb Raider: Caves and Cliffs Multiplayer Map Pack,tbd
Assassin's Creed III - The Betrayal,83
Gears of War: Judgment,79
Aliens: Colonial Marines - Bug Hunt,tbd
DLC Quest: Live Freemium or Die,tbd
Don't Die Pluto,tbd
The Wall (2013),tbd
Legioner,tbd
Battle High 2,tbd
Cootie Crusher,tbd
Darkstalkers Resurrection,80
Master of the Seven Teas,tbd
Scott Pilgrim vs. the World: The Game - Online Multiplayer + Wallace Pack,tbd
Kinect Sports: Penalty Saver,tbd
Kinect Sports: Ping Pong,tbd
Sniper: Ghost Warrior 2,92
Zombie Racer (2013),tbd
Kinect Sports: 10 Frame Bowling,tbd
Kinect Sports: Ping Pong,tbd
Kinect Sports: Penalty Saver,tbd
Forza Horizon: Pre-Order Car Pack,tbd
ShootOut Reloaded,tbd
Danger Rally,tbd
DepthAttack,tbd
BomBomEngine,tbd
Candies vs. Hypnodeer,tbd
All Fives Dominos v1,tbd
WRC Powerslide,80
Angry Birds Trilogy: Fowl Tempered,tbd
Break.,tbd
Space Vixens,tbd
Dollar Dash,75
Resident Evil 6: Map Pack Bundle,tbd
Resident Evil 6: Siege Game Mode,tbd
DmC: Devil May Cry - Vergil's Downfall,82
Tomb Raider,86
NBA 2K13/MLB 2K13 Combo Pack,tbd
Mass Effect 3: Citadel,84
Naruto Shippuden: Ultimate Ninja Storm 3,77
Forza Horizon: March Meguiar's Car Pack,tbd
MLB 2K13,96
Capcom Arcade Cabinet: Game Pack 2,tbd
Chromathud,tbd
Bulkhead (2013),tbd
Wright Brothers' Mysteries,tbd
Investigate This: Scarecrow!,tbd
Mythos Castle,tbd
Sleeping Dogs: Wheels of Fury,tbd
Pinball FX 2: Star Wars Pinball,87
Phantom Breaker: Battle Grounds,83
King Swing,tbd
Marble Masters: The Pit,tbd
Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,85
Mass Effect 3: Reckoning,tbd
Galactic Fortress,tbd
Borderlands 2: Add-On Content Pack,tbd
Need for Speed: Most Wanted - Terminal Velocity,tbd
Need for Speed: Most Wanted - NFS Heroes,tbd
Fist of the North Star: Ken's Rage 2 - New Mission Pack 1,tbd
Need for Speed: Most Wanted - Movie Legends,tbd
MUD - FIM Motocross World Championship,94
Yousai Boukenki,tbd
No-Fly Zone (2013),tbd
Ball Guy,tbd
Chronoblast,tbd
Halo 4: Majestic Map Pack,tbd
Voxel Runner,tbd
Short Circuit (2013),tbd
Constellation,tbd
White Noise Online,tbd
Procrastinating Squirrel,tbd
Cataclysm!,tbd
Bingo (2013),tbd
Serious Sam Double D,91
DmC: Devil May Cry - Bloody Palace,tbd
Capcom Arcade Cabinet: Game Pack 1,tbd
Ascent of Kings,80
Laser Fry,tbd
Capcom Arcade Cabinet,83
Metal Gear Rising: Revengeance,80
Assassin's Creed III - The Infamy,75
Rad Raygun,tbd
Crysis 3,76
Infinite Doodle,tbd
Minotaur (2013),tbd
Giball,tbd
The Fantastic Fivesome,tbd
Jemboree,tbd
Bad Caterpillar,tbd
Ginga Force,75
Undead Empire: Hellfire,tbd
Virtua Striker,tbd
Let's Learn Japanese: Deluxe,tbd
Virtual-On: Cyber Troopers,tbd
Yu-Gi-Oh! 5D's Decade Duels Plus,tbd
Chained Wings,tbd
Sleeping Dogs: Law Enforcer Pack,tbd
Aliens: Colonial Marines,90
Omerta: City of Gangsters,84
Zombie Square 2,tbd
H.i.v.e. (2013),tbd
FAT,tbd
Ajare&Watch,tbd
Sniper Elite V2: Saint Pierre,tbd
Fiskal Clif,tbd
Special Forces: Team X,80
Fist of the North Star: Ken's Rage 2,87
Dead Space 3,78
On A Roll 3D,tbd
Labyrinth X,tbd
Avatar Maze Game,tbd
ENGO,tbd
Omerta: City of Gangsters - The Bulgarian Colossus,tbd
Love*Tra: Bitter,tbd
Arcadecraft,tbd
Skulls of the Shogun,81
Sleeping Dogs: Money King Pack,tbd
Sleeping Dogs: Movie Masters Pack,tbd
Resident Evil 6: Stage Map Pack B,tbd
Heavy Fire: Shattered Spear,tbd
Call of Duty: Black Ops II - Revolution,75
Protect Our Base,tbd
Hitman HD Trilogy,90
Element (2013),tbd
BitzKrieg,tbd
Match Frenzy,tbd
Pester,tbd
Port Royale 3: Pirates and Merchants - Harbour Master,tbd
Geriatrix - Zombie City,tbd
Wreckateer: Callonburg Level Pack,tbd
The Cave (2013),91
Max Payne 3: Deathmatch Made In Heaven Mode Pack,tbd
StarWings: Mission Command,tbd
Steel Champions,tbd
Exploding Imp,tbd
Avatar Stealth,tbd
Ultimate Dodgeball,tbd
Story Tale Mania Christmas,tbd
Galactic Conquest!,tbd
Lights Out (2013),tbd
Grid Space Shooter,tbd
Far Cry 3: Deluxe Bundle DLC,tbd
The Flying Dead,tbd
Dynasty of Dusk,tbd
DmC: Devil May Cry,86
BioShock Ultimate Rapture Edition,tbd
Borderlands 2: Sir Hammerlock's Big Game Hunt,75
Forza Horizon: Honda Challenge Car Pack,tbd
Shin Mahou Gouseiya-San no Mike,tbd
Storage Warfare,tbd
Zombie Splatter,tbd
Little Acorns Deluxe,tbd
Assassin's Creed III: The Battle Hardened Pack,tbd
Anarchy Reigns,85
Family Guy: Back to the Multiverse - Peter Griffin's Man Boob Mega Sweat Pack,tbd
XCOM: Enemy Unknown - Second Wave,tbd
Genix,tbd
The Runner (2013),tbd
The Ninjabread Men,tbd
Harvester (2013),tbd
Decoy,tbd
Ricochet (2013),tbd
Kube Ball,tbd
Tank Attack 2D,tbd
Avatar Football,tbd
Pirates Attack,tbd
Scribendus,tbd
Trivia Or Die: Movie Edition,tbd
Retro City Rampage,79
Squadron Scramble,tbd
Flood Frenzy!,tbd
Arcade of Neon,tbd
Forza Horizon: January Recaro Car Pack,tbd
Snowflakes,tbd
Avatar FameStar,tbd
Avatar Karting 2,tbd
Zombominous,tbd
Battle Sub,tbd
Prize Driver,tbd
Reaction Rally,tbd
Kinect Sports Gems: Field Goal Contest,tbd
Gears of War: Judgment - Alex Brand Multiplayer Character,tbd
Gears of War: Judgment - Anya Stroud Multiplayer Character,tbd
Gears of War: Judgment - Emergence Era Dom Multiplayer Character,tbd
Gears of War: Judgment - Emergence Era Marcus Multiplayer Character,tbd
Space Ball (2012),tbd
No Air Out Here,tbd
Quarantined,tbd
Super Santa Slayer,tbd
8-Bit Defense,tbd
engram (2012),tbd
Zombie Death Quota,tbd
Temple of Dogolrak 2,tbd
Revenge of the Sammich 2,tbd
Odyssey 3011,tbd
Angry Birds Trilogy: Anger Management,tbd
Platformer From Hell,tbd
End of Days: Survivor,tbd
How Quick Are You,tbd
Awesome Pirates,tbd
Catalyst 2012,tbd
Sleeping Dogs: Zodiac Tournament Pack,tbd
8BitsRetroZSurvivals,tbd
Light Fighters,tbd
Trials Evolution: The Riders of Doom,81
RAGE: The Scorchers,83
Resident Evil 6: Additional 3-Mode Pack,tbd
Need for Speed: Most Wanted - Ultimate Speed,tbd
Forza Horizon: Rally Expansion Pack,76
Gingerbread Holiday Sharing,tbd
Footboholics,tbd
Kinect Party,81
Jigsaw Jumble Xmas 2012,tbd
Zombie Strippers Ate My Brains,tbd
Chrophidian,tbd
Tank Negotiator,tbd
Concept Coaster Craft,tbd
White Noise: A tale of Horror,tbd
Tropico 4: Pirate Heaven,tbd
Tropico 4: Vigilante,tbd
Pinball FX 2: Zen Classics,80
Iron Sky: Invasion,90
Heavy Recoil (2012),tbd
Tropico 4: Megalopolis,tbd
Black Knight Sword,85
American Mensa Academy,tbd
Bleed,75
Assassin's Creed III: The Hidden Secrets Pack,tbd
Jade Konoichi: Ep.1,tbd
FAST FAST LASER LASER,tbd
Dishonored: Dunwall City Trials,78
Karaoke,tbd
60 Seconds to Park,tbd
Halo 4: Crimson Map Pack,tbd
Dream Divers 2,tbd
Air Conflicts: Pacific Carriers,tbd
Vampire Slayer FPS,tbd
Retro Pixel Racers,tbd
TrickyTreat,tbd
Project Gert: Recon,tbd
2D Voxel Madness,tbd
Battlefield 3: Aftermath,85
Max Payne 3: Painful Memories Pack,tbd
Resident Evil 6: Stage Map Pack A,tbd
Far Cry 3,88
The Elder Scrolls V: Skyrim - Dragonborn,82
Guardians of Middle-Earth,75
XCOM: Enemy Unknown - Slingshot,tbd
Saban's Power Rangers Super Samurai,tbd
Forza Horizon: December IGN Car Pack,tbd
Santas Xmas Dash II,tbd
Space Egypt,tbd
"AAH, HALLOWEEN PIE!",tbd
Cool Shapes (2012),tbd
Assassin's Creed Anthology,tbd
Red Bull Crashed Ice Kinect,82
Rugby League Live 2,tbd
Skyfish Forever,tbd
Love*Tra: Mint,tbd
Virtua Fighter 2,98
Fighting Vipers,100
Space Cruesader,tbd
Zombie Hunter 2D,tbd
Red Tie Miner Zombie 3,tbd
Christmas Carnage,tbd
Robot Legions,tbd
Sonic the Fighters,83
Aeternum,tbd
Ball Track Builder,tbd
Blowball's Adventures,tbd
Battle Cubes,tbd
To Nebula's End,tbd
Warriors: Legends of Troy,87
Sleeping Dogs: Gangland Style Pack,tbd
Mass Effect 3: Omega,80
Inventions of evil Intentions,tbd
Fruit Ninja Kinect: High-Tech Vault,tbd
Avatar Monster Truck,tbd
Racedrome City,tbd
STRACO Episode 1,tbd
Pinball FX 2: Marvel Pinball - Civil War,85
Trailer Park King 3DD,tbd
The Walking Dead: Episode 5 - No Time Left,89
Worms Revolution: Medieval Tales Pack,tbd
Hitman: Absolution,79
3 Point Contest,tbd
Ski Race,tbd
Darts vs. Zombies,tbd
Borderlands 2: Mr. Torgue's Campaign of Carnage,83
Rise of the Guardians,92
Family Guy: Back to the Multiverse,96
RAD Infinitum,tbd
Disney Epic Mickey 2: The Power of Two,80
Sonic & All-Stars Racing Transformed,82
Alpha Ship,tbd
Code Breaker (2012),tbd
Three Dead Zed,tbd
Zomp 3: The Quest for Z's,tbd
Avatar Farm Online,tbd
Hostile Hustle,tbd
Sleeping Dogs: Square Enix Character Pack,tbd
Sleeping Dogs: Dragon Master Pack,tbd
Obut Petanque 2,tbd
Warlords (2011),82
Planets Under Attack,85
Fruit Ninja Kinect: Flower Power,tbd
Wreckateer: Mt. Adalmant Level Pack,tbd
F1 Race Stars,85
The Hip Hop Dance Experience,81
Tropico 4: Gold Edition,tbd
Ben 10: Omniverse,96
LEGO The Lord of the Rings,80
Call of Duty: Black Ops II,83
Call of Duty: Black Ops II - Nuketown Zombies,tbd
UFC Double Pack,tbd
F1 Race Stars: Europe Track,tbd
Oh Noes!!2,tbd
Shark Attack Deathmatch,tbd
Space Rage,tbd
Alien Siege (2012),tbd
Sega Vintage Collection: ToeJam & Earl,82
Karateka (2012),80
Worms Revolution: Mars Pack,tbd
Halo 4,87
Dragon Ball Z Budokai HD Collection,86
Midway Arcade Origins,80
Mass Effect Trilogy,tbd
Rocketgirl,tbd
Forza Horizon: Bondurant Car Pack,tbd
Nickelodeon Dance 2,tbd
Nickelodeon Dance 2,tbd
NASCAR The Game: Inside Line,76
"Easy, Medium, Egghead",tbd
Main Sequence,tbd
Vocabulary Builder,tbd
Avatar Driving,tbd
Top Hand Rodeo Tour,tbd
The Return of CyberBox,tbd
Space War (2012),tbd
Pool Nation,79
Fishing Frenzy (2012),tbd
Pid,100
Rockstar Games Collection: Edition 1,tbd
SoulCalibur IV / Tekken 6,tbd
Nike+ Kinect Training,80
Zone of the Enders HD Collection,75
Marvel Avengers: Battle for Earth,80
WWE '13,78
Need for Speed: Most Wanted,84
Resident Evil 6: Additional Stage - High Seas Fortress,tbd
Assassin's Creed III,84
Resident Evil 6: Additional Stage - Rail Yard,tbd
Resident Evil 6: Additional Stage - The Catacombs,tbd
Max Payne 3: Hostage Negotiation Map Pack,tbd
Sleeping Dogs: Nightmare in North Point,tbd
Darksiders II: Abyssal Forge,tbd
Disney/Pixar Toy Story Mania!,88
Demon House: FPS,tbd
Befuddled Bears,tbd
Home Run Stars,tbd
Eat my Shuriken and Die!,tbd
Project Crossover,tbd
Dungeons of Desolation,tbd
Phantom: Phantom of Inferno,tbd
Obut Petanque,tbd
Fruit Ninja Kinect: Trick or Treat Bag,tbd
Of Orcs and Men,80
Hell Yeah! Virtual Rabbit Missions,tbd
Worms Revolution: Funfair,tbd
Hell Yeah! Pimp My Rabbit Pack,tbd
Guilty Gear XX Accent Core Plus,76
FromPulse,tbd
Cabela's Hunting Expeditions,tbd
Cabela's Dangerous Hunts 2013,83
Dark Souls: Artorias of the Abyss,89
Forza Horizon,85
Just Dance: Disney Party,tbd
Medal of Honor: Warfighter,75
Sleeping Dogs: SWAT Pack,tbd
Forza Horizon: October Car Pack,tbd
Piz-ong,tbd
Halloween Scream,tbd
Zombie Death Survival,tbd
Hypotenuse,tbd
Skylanders Giants,80
Br8kIn' Chalkboard Edition,tbd
Arrow in the Knee,tbd
Divided,tbd
Sniper Elite V2: Landwehr Canal,tbd
Lucky,tbd
Captain Foraxian,tbd
Extreme XOXO,tbd
Serious Sam 3: BFE,92
Prank Call 2,tbd
A World of Keflings: The Curse of the Zombiesaurus,tbd
