Game,System,xCloud,Status,Added,Removed,Months,Release,Age,Metacritic,Genre (Giantbomb),ESRB
Dordogne,Xbox / PC,Yes,Active,Jun 2023,,4.80,Jun 2023,0.00,74,Adventure / Puzzle,E
Rune Factory 4: Special,Xbox / PC,Yes,Active,Jun 2023,,4.96,Jul 2012,10.89,82,Action / Role-Playing,T
Stacking,Xbox,Yes,Active,Jun 2023,,4.96,Feb 2011,12.34,82,Adventure / Puzzle,E10+
Amnesia: The Bunker,Xbox / PC,Yes,Active,Jun 2023,,5.03,Jun 2023,0.00,77,Adventure,RP
Car Mechanic Simulator 2021,Xbox / PC,Yes,Active,Jun 2023,,5.19,Aug 2021,1.81,70,Simulation,E
Slayers X: Terminal Aftermath - Vengance of the Slayer,Xbox / PC,Yes,Active,Jun 2023,,5.19,Jun 2023,0.00,80,First-Person Shooter,RP
The Big Con,Xbox / PC,Yes,Active,Jun 2023,,5.19,Aug 2021,1.75,77,Adventure,T
Chicory: A Colorful Tale,Xbox / PC,,Active,May 2023,,5.26,Jun 2021,1.97,90,Action-Adventure,E
Farworld Pioneers,Xbox / PC,,Active,May 2023,,5.26,May 2023,0.00,58,,RP
Massive Chalice,Xbox,Yes,Active,May 2023,,5.42,Jun 2015,7.99,72,Strategy / Role-Playing,T
Railway Empire 2,Xbox / PC,Yes,Active,May 2023,,5.46,May 2023,0.00,79,Strategy / Simulation,RP
PLANET OF LANA,Xbox / PC,Yes,Active,May 2023,,5.49,May 2023,0.00,80,Adventure / Puzzle,RP
Eastern Exorcist,Xbox / PC,,Active,May 2023,,5.65,Jul 2021,1.86,73,Action / Role-Playing,M
Supraland: Six Inches Under,Xbox / PC,Yes,Active,May 2023,,5.65,Jan 2022,1.34,86,Action-Adventure,RP
FIFA 23,Xbox / PC,Yes,Active,May 2023,,5.72,Oct 2021,1.62,78,Sports / Soccer,E
Fuga: Melodies of Steel 2,Xbox / PC,Yes,Active,May 2023,,5.88,May 2023,0.00,85,Strategy / Role-Playing,RP
Ravenlok,Xbox / PC,Yes,Active,May 2023,,6.12,May 2023,0.00,66,Action / Role-Playing,E10+
Redfall,Xbox / PC,Yes,Active,May 2023,,6.18,May 2023,0.00,55,First-Person Shooter,M
Besiege,Xbox / PC,Touch Controls,Active,May 2023,,6.21,Feb 2022,1.22,88,Strategy / Simulation,T
BlazBlue: Cross Tag Battle - Special Edition,Xbox / PC,Yes,Active,Apr 2023,,6.35,May 2018,4.91,72,Fighting,T
The Last Case of Benedict Fox,Xbox / PC,,Active,Apr 2023,,6.35,Apr 2023,0.00,66,Horror,RP
Cassette Beasts,Xbox / PC,,Active,Apr 2023,,6.38,Apr 2023,0.00,83,Role-Playing,RP
