Game,System,xCloud,Status,Added,Removed,Months,Release,Age,Metacritic,Genre (Giantbomb),ESRB
ANVIL: Vault Breaker (Game Preview),Xbox / PC,Touch Controls,Active,Dec 2021,,23.15,Sep 2021,0.25,,Action / Dual-Joystick Shooter,T
Rubber Bandits,Xbox / PC,Touch Controls,Active,Dec 2021,,23.15,Dec 2021,0.00,74,Brawler,E10+
Stardew Valley,Xbox / PC,Touch Controls,Active,Dec 2021,,23.15,Feb 2016,5.77,89,Role-Playing / Simulation / Fishing / Action-Adventure,E10+
Dicey Dungeons,Xbox / PC,Touch Controls,Active,Nov 2021,,23.84,Aug 2019,2.25,80,Role-Playing,E10+
Forza Horizon 5,Xbox / PC,Yes,Active,Nov 2021,,23.90,Nov 2021,0.00,92,Driving/Racing,E
It Takes Two,Xbox / PC,Yes,Active,Nov 2021,,24.07,Mar 2021,0.61,89,Platformer / Action-Adventure,T
Unpacking,Xbox / PC,Touch Controls,Active,Nov 2021,,24.13,Nov 2021,0.00,82,Simulation / Puzzle,E
Age of Empires IV: Anniversary Edition,Xbox / PC,Yes,Active,Oct 2021,,24.30,Oct 2021,0.00,81,Real-Time Strategy,T
Everspace 2 (Game Preview),PC,,Active,Oct 2021,,24.53,Jan 2021,0.76,76,Action / Shooter,T
Back 4 Blood,Xbox / PC,Yes,Active,Oct 2021,,24.82,Oct 2021,0.00,77,First-Person Shooter,M
Crysis: Remastered,PC,,Active,Sep 2021,,25.22,Sep 2020,1.03,69,Action / First-Person Shooter,M
Tainted Grail: Conquest,PC,Touch Controls,Active,Sep 2021,,25.45,Jun 2020,1.27,82,Role-Playing / Card Game,M
Superliminal,Xbox / PC,Touch Controls,Active,Sep 2021,,25.68,Nov 2019,1.85,77,Puzzle,E
Psychonauts 2,Xbox / PC,Touch Controls,Active,Aug 2021,,26.40,Aug 2021,0.00,89,Platformer / Action-Adventure,T
Quake,Xbox / PC,Yes,Active,Aug 2021,,26.60,Jul 1996,25.09,94,First-Person Shooter,M
Quake II,Xbox / PC,Yes,Active,Aug 2021,,26.60,Dec 1997,23.71,89,Action / First-Person Shooter,M
Quake III: Arena,PC,,Active,Aug 2021,,26.60,Dec 1999,21.73,90,First-Person Shooter,M
Humankind,Xbox / PC,Yes,Active,Aug 2021,,26.66,Aug 2021,0.00,78,Strategy,E10+
Syndicate (1993),PC,,Active,Aug 2021,,26.66,Jun 1993,28.21,84,Action / Strategy / Role-Playing,T
Ultima Underworld 1,PC,,Active,Aug 2021,,26.66,Mar 1992,29.41,94,Action / Role-Playing,E
Ultima Underworld 2,PC,,Active,Aug 2021,,26.66,Jan 1993,28.64,90,Action / Role-Playing,E
Microsoft Solitaire Collection: Premium Edition,PC,,Active,Aug 2021,,26.66,Oct 2012,8.81,70,Card Game / Minigame Collection,E
DiRT Rally 2.0,Xbox,,Active,Aug 2021,,26.89,Feb 2019,2.45,82,Driving/Racing,E
GRID (2019),Xbox,,Active,Aug 2021,,26.89,Sep 2019,1.92,79,Driving/Racing,E
Skate,Xbox,Touch Controls,Active,Aug 2021,,27.06,Sep 2007,13.90,86,Sports / Simulation / Skateboarding,T
Crimson Skies: High Road to Revenge,Xbox,Touch Controls,Active,Jul 2021,,27.39,Oct 2003,17.78,88,Flight Simulator / Vehicular Combat,T
Blinx: The Time Sweeper,Xbox,Touch Controls,Active,Jul 2021,,27.52,Oct 2002,18.80,71,Action,E
EA Sports UFC 4,Xbox,,Active,Jul 2021,,27.98,Aug 2020,0.90,82,Sports / Fighting,T
Gang Beasts,Xbox / PC,Yes,Active,Jul 2021,,28.21,Aug 2014,6.84,67,Brawler,E10+
Need for Speed: Hot Pursuit - Remastered,Xbox / PC,Touch Controls,Active,Jun 2021,,28.44,Nov 2020,0.63,76,Driving/Racing,E10+
Medieval Dynasty,Xbox / PC,Yes,Active,Jun 2021,,28.67,Sep 2020,0.75,73,Role-Playing / Simulation / Action-Adventure,T
Arx Fatalis,PC,,Active,Jun 2021,,28.80,Nov 2002,18.60,77,Action / Adventure / Role-Playing,M
Dishonored: Death of the Outsider,Xbox / PC,Yes,Active,Jun 2021,,28.80,Sep 2017,3.75,83,Action-Adventure,M
Fallout,PC,,Active,Jun 2021,,28.80,Sep 1997,23.72,89,Role-Playing,M
Fallout 2,PC,,Active,Jun 2021,,28.80,Sep 1998,22.72,86,Role-Playing,M
Fallout Tactics: Brotherhood of Steel,PC,,Active,Jun 2021,,28.80,Mar 2001,20.26,82,Action / Strategy / Role-Playing,M
The Evil Within 2,Xbox / PC,Yes,Active,Jun 2021,,28.80,Oct 2017,3.67,81,Shooter,M
Yakuza: Like a Dragon,Xbox / PC,Touch Controls,Active,Jun 2021,,28.80,Jan 2020,1.41,86,Role-Playing,M
For Honor: Marching Fire Edition,Xbox / PC,Yes,Active,Jun 2021,,29.13,Dec 2017,3.47,78,Action / Strategy / Fighting / MOBA,M
Conan Exiles,Xbox / PC,Yes,Active,May 2021,,29.42,May 2018,3.02,64,Action / Role-Playing,M
SnowRunner,Xbox / PC,Yes,Active,May 2021,,29.65,Apr 2020,1.05,81,Driving/Racing / Simulation,E
Just Cause 4: Reloaded,Xbox / PC,Yes,Active,May 2021,,29.82,Dec 2018,2.44,69,Action-Adventure,M
Psychonauts,Xbox / PC,Touch Controls,Active,May 2021,,29.82,Apr 2005,16.08,88,Platformer / Action-Adventure,T
Zombie Army 4: Dead War,Xbox / PC,Yes,Active,Apr 2021,,30.97,Feb 2020,1.18,76,First-Person Shooter / Action-Adventure,M
Genesis Noir,Xbox / PC,Touch Controls,Active,Mar 2021,,31.43,Mar 2021,0.00,79,Adventure,T
Yakuza 6: The Song of Life,Xbox / PC,Touch Controls,Active,Mar 2021,,31.43,Dec 2016,4.30,83,Role-Playing / Brawler / Action-Adventure,M
Command & Conquer: Remastered Collection,PC,,Active,Mar 2021,,31.66,Jun 2020,0.78,82,Action / Strategy / Shooter / Flight Simulator,T
Dungeon Keeper,PC,,Active,Mar 2021,,31.66,Jun 1997,23.74,88,Strategy / Role-Playing,M
Dungeon Keeper 2,PC,,Active,Mar 2021,,31.66,Jun 1999,21.73,88,Action / Real-Time Strategy,M
Jade Empire: Special Edition,PC,,Active,Mar 2021,,31.66,Apr 2005,15.94,81,Role-Playing / Action-Adventure,M
Medal of Honor: Allied Assault - War Chest,PC,,Active,Mar 2021,,31.66,Jan 2002,19.17,91,First-Person Shooter,T
Need for Speed: Most Wanted,PC,,Active,Mar 2021,,31.66,Oct 2012,8.39,78,Driving/Racing,E10+
Populous,PC,,Active,Mar 2021,,31.66,Jan 1989,32.23,89,Strategy,T
Populous II: Trials of the Olympian Gods,PC,,Active,Mar 2021,,31.66,Aug 1991,29.57,80,Simulation / Real-Time Strategy,T
Rebel Galaxy,PC,,Active,Mar 2021,,31.66,Oct 2015,5.41,75,Action / Role-Playing,T
SimCity 2000: Special Edition,PC,,Active,Mar 2021,,31.66,Feb 1995,26.13,77,Strategy / Simulation,E
SimCity 4: Deluxe Party Edition,PC,,Active,Mar 2021,,31.66,Jan 2003,18.19,84,Simulation,E
SimCity: Complete Edition,PC,,Active,Mar 2021,,31.66,Mar 2013,8.04,64,Simulation,E10+
SPORE,PC,,Active,Mar 2021,,31.66,Sep 2008,12.53,84,Strategy / Adventure / Simulation,E10+
Star Wars Squadrons,Xbox / PC,Touch Controls,Active,Mar 2021,,31.66,Oct 2020,0.46,79,Action / Flight Simulator,T
The Saboteur,PC,,Active,Mar 2021,,31.66,Dec 2009,11.28,76,Shooter / Action-Adventure,M
The Sims 3,PC,,Active,Mar 2021,,31.66,Jun 2009,11.80,86,Simulation,T
Dishonored: Definitive Edition,Xbox / PC,Yes,Active,Mar 2021,,31.86,Aug 2018,2.55,76,Role-Playing / First-Person Shooter / Action-Adventure,M
DOOM,Xbox / PC,Yes,Active,Mar 2021,,31.86,Dec 1993,27.27,83,First-Person Shooter,M
DOOM 3,Xbox / PC,Yes,Active,Mar 2021,,31.86,Aug 2004,16.62,88,First-Person Shooter,M
DOOM 64,Xbox / PC,Yes,Active,Mar 2021,,31.86,Mar 1997,23.96,77,First-Person Shooter,M
Generation Zero,Xbox / PC,Yes,Active,Dec 2021,,23.18,Mar 2019,2.69,51,First-Person Shooter,T
DOOM II: Hell on Earth,Xbox / PC,Yes,Active,Mar 2021,,31.86,Sep 1994,26.47,80,First-Person Shooter,M
The Elder Scrolls III: Morrowind,Xbox / PC,Yes,Active,Mar 2021,,31.86,May 2002,18.88,88,Role-Playing,T
The Evil Within,Xbox / PC,Yes,Active,Mar 2021,,31.86,Oct 2014,6.41,74,Shooter,M
Wolfenstein: The Old Blood,Xbox / PC,Yes,Active,Mar 2021,,31.86,May 2015,5.86,76,First-Person Shooter,M
DiRT 5,Xbox / PC,Touch Controls,Active,Feb 2021,,32.35,Oct 2020,0.36,79,Driving/Racing,E
Pillars of Eternity II: Deadfire - Ultimate Edition,Xbox / PC,Touch Controls,Active,Feb 2021,,32.58,May 2018,2.79,88,Role-Playing,M
Wreckfest,Xbox / PC,Touch Controls,Active,Feb 2021,,32.58,Jun 2018,2.68,82,Driving/Racing,T
Yakuza 3: Remastered,Xbox / PC,Touch Controls,Active,Jan 2021,,33.27,Aug 2019,1.44,77,Role-Playing / Brawler / Action-Adventure,M
Yakuza 4: Remastered,Xbox / PC,Touch Controls,Active,Jan 2021,,33.27,Oct 2019,1.25,78,Role-Playing / Brawler / Action-Adventure,M
Yakuza 5: Remastered,Xbox / PC,Touch Controls,Active,Jan 2021,,33.27,Feb 2020,0.96,82,Role-Playing / Brawler / Action-Adventure,M
Injustice 2,Xbox / PC,Yes,Active,Jan 2021,,33.96,May 2017,3.65,88,Fighting,T
Among Us,Xbox / PC,Touch Controls,Active,Dec 2020,,34.65,Jun 2018,2.51,85,Strategy,E10+
Monster Train,Xbox / PC,Touch Controls,Active,Dec 2020,,34.65,May 2020,0.58,85,Strategy / Card Game,E
The Elder Scrolls V: Skyrim Special Edition,Xbox / PC,Yes,Active,Dec 2020,,34.72,Oct 2016,4.13,82,Role-Playing,M
Monster Sanctuary,Xbox / PC,Touch Controls,Active,Dec 2020,,34.95,Aug 2019,1.28,82,Adventure / Platformer,E10+
Starbound,PC,,Active,Dec 2020,,34.95,Jul 2016,4.38,81,Platformer / Action-Adventure,E10+
NHL 94 Rewind,Xbox,,Active,Dec 2020,,35.11,Oct 2020,0.09,100,Sports / Soccer,E
Halo 4,PC,,Active,Nov 2020,,35.64,Nov 2012,8.04,87,Action / First-Person Shooter,M
A Way Out,Xbox / PC,,Active,Nov 2020,,35.87,Mar 2018,2.64,79,Action / Action-Adventure,M
Alice: Madness Returns,Xbox / PC,,Active,Nov 2020,,35.87,Jun 2011,9.42,70,Platformer / Action-Adventure,M
Anthem,Xbox / PC,,Active,Nov 2020,,35.87,Feb 2019,1.74,62,Action / Role-Playing,T
Army of Two,Xbox,,Active,Nov 2020,,35.87,Mar 2008,12.70,72,Action / Shooter,M
Battlefield 1: Revolution,Xbox / PC,Yes,Active,Nov 2020,,35.87,Oct 2016,4.06,87,First-Person Shooter,M
Battlefield 3: Premium Edition,Xbox / PC,,Active,Nov 2020,,35.87,Oct 2011,9.05,84,First-Person Shooter / Vehicular Combat,M
Battlefield 4: Premium Edition,Xbox / PC,Yes,Active,Nov 2020,,35.87,Oct 2013,7.04,81,First-Person Shooter,M
Battlefield V: Year Two Edition,Xbox / PC,Yes,Active,Nov 2020,,35.87,Nov 2018,1.99,78,Action / First-Person Shooter,M
Battlefield: Hardline - Ultimate Edition,Xbox / PC,,Active,Nov 2020,,35.87,Mar 2015,5.66,71,First-Person Shooter,M
Bejeweled 2,Xbox,,Active,Nov 2020,,35.87,Nov 2004,16.02,69,Puzzle,E
Bejeweled 3,Xbox,,Active,Nov 2020,,35.87,Dec 2010,9.93,78,Strategy / Puzzle,E
BLACK,Xbox,,Active,Nov 2020,,35.87,Feb 2006,14.71,77,First-Person Shooter,M
Burnout: Paradise - Remastered,Xbox / PC,,Active,Nov 2020,,35.87,Jan 2008,12.81,79,Driving/Racing,E10+
Crysis,Xbox / PC,,Active,Nov 2020,,35.87,Nov 2007,13.00,81,Action / First-Person Shooter,M
Crysis 2: Maximum Edition,Xbox / PC,,Active,Nov 2020,,35.87,Mar 2011,9.65,84,First-Person Shooter,M
Crysis 3,Xbox / PC,,Active,Nov 2020,,35.87,Feb 2013,7.73,76,First-Person Shooter,M
Dante's Inferno,Xbox,,Active,Nov 2020,,35.87,Feb 2010,10.76,73,Action,M
Dead Space,Xbox / PC,Yes,Active,Nov 2020,,35.87,Oct 2008,12.08,89,Action,M
Dead Space 2,Xbox / PC,Yes,Active,Nov 2020,,35.87,Jan 2011,9.80,90,Action / Shooter,M
Dead Space 3,Xbox / PC,Yes,Active,Nov 2020,,35.87,Feb 2013,7.77,78,Action / Shooter,M
Dead Space: Ignition,Xbox,,Active,Nov 2020,,35.87,Oct 2010,10.09,35,Puzzle,M
Dragon Age II,Xbox / PC,Touch Controls,Active,Nov 2020,,35.87,Mar 2011,9.68,79,Role-Playing,M
Dragon Age: Inquisition - Game of the Year Edition,Xbox / PC,Yes,Active,Nov 2020,,35.87,Nov 2014,5.98,86,Action / Role-Playing,M
Dragon Age: Origins - Ultimate Edition,Xbox / PC,Touch Controls,Active,Nov 2020,,35.87,Nov 2009,11.03,86,Role-Playing,M
EA Sports UFC 3,Xbox,,Active,Nov 2020,,35.87,Feb 2018,2.77,77,Sports / Fighting,T
Fe,Xbox / PC,,Active,Nov 2020,,35.87,Feb 2018,2.73,70,Action-Adventure,E
Feeding Frenzy,Xbox,,Active,Nov 2020,,35.87,Mar 2006,14.67,65,Action,E
Feeding Frenzy 2: Shipwreck Showdown,Xbox,,Active,Nov 2020,,35.87,Feb 2006,14.77,65,Action,E
Fight Night: Champion,Xbox,,Active,Nov 2020,,35.87,Mar 2011,9.70,86,Simulation / Fighting / Boxing,M
Heavy Weapon,Xbox,,Active,Nov 2020,,35.87,Jan 2007,13.82,77,Dual-Joystick Shooter,E10+
Mass Effect 2: Digital Deluxe Edition,Xbox / PC,,Active,Nov 2020,,35.87,Jan 2010,10.80,96,Role-Playing / Action-Adventure,M
Mass Effect 3: N7 Digital Deluxe Edition,Xbox / PC,,Active,Nov 2020,,35.87,Mar 2012,8.69,93,Role-Playing / Shooter / Action-Adventure,M
Mass Effect: Andromeda - Deluxe Edition,Xbox / PC,Yes,Active,Nov 2020,,35.87,Mar 2017,3.64,76,Role-Playing / Action-Adventure,M
Medal of Honor: Airborne,Xbox / PC,,Active,Nov 2020,,35.87,Sep 2007,13.19,73,Action / First-Person Shooter,M
Mirror's Edge,Xbox / PC,,Active,Nov 2020,,35.87,Apr 2010,10.62,79,Action / Platformer,T
Mirror's Edge: Catalyst,Xbox / PC,Yes,Active,Nov 2020,,35.87,Jun 2016,4.43,72,Action-Adventure,T
NBA LIVE 16,Xbox,,Active,Nov 2020,,35.87,Sep 2015,5.12,60,Sports / Basketball,E
NBA LIVE 19,Xbox,,Active,Nov 2020,,35.87,Sep 2018,2.18,75,Sports / Basketball,E
Need for Speed: Deluxe Edition,Xbox / PC,,Active,Nov 2020,,35.87,Nov 2015,5.02,65,Driving/Racing,T
Need for Speed: Heat - Deluxe Edition,Xbox / PC,Touch Controls,Active,Nov 2020,,35.87,Nov 2019,1.01,74,Driving/Racing,T
Need for Speed: Payback - Deluxe Edition,Xbox / PC,,Active,Nov 2020,,35.87,Nov 2017,3.00,61,Driving/Racing,T
Need for Speed: Rivals - Complete Edition,Xbox / PC,,Active,Nov 2020,,35.87,Nov 2013,6.99,75,Driving/Racing,E10+
NHL 17,Xbox,,Active,Nov 2020,,35.87,Sep 2016,4.16,77,Sports / Hockey,E10+
Peggle,Xbox / PC,,Active,Nov 2020,,35.87,Apr 2007,13.59,89,Puzzle / Block-Breaking,E
Peggle 2,Xbox,Touch Controls,Active,Nov 2020,,35.87,Sep 2013,7.17,89,Puzzle,E
Plants vs. Zombies: Game of the Year Edition,Xbox / PC,,Active,Nov 2020,,35.87,May 2009,11.53,89,Strategy / Puzzle,E10+
Plants vs. Zombies: Battle for Neighborville - Deluxe Edition,Xbox / PC,Yes,Active,Nov 2020,,35.87,Oct 2019,1.07,76,Shooter,E10+
Plants vs. Zombies: Garden Warfare,Xbox / PC,Yes,Active,Nov 2020,,35.87,Feb 2014,6.73,76,Shooter,E10+
Plants vs. Zombies: Garden Warfare 2 - Deluxe Edition,Xbox / PC,Yes,Active,Nov 2020,,35.87,Feb 2016,4.72,80,Action,E10+
Rocket Arena,Xbox / PC,,Active,Nov 2020,,35.87,Jul 2020,0.33,71,First-Person Shooter,T
Sea of Solitude,Xbox / PC,,Active,Nov 2020,,35.87,Jul 2019,1.35,72,Adventure,T
Skate 3,Xbox,Yes,Active,Nov 2020,,35.87,May 2010,10.51,80,Skateboarding,T
SSX,Xbox,,Active,Nov 2020,,35.87,Feb 2012,8.71,82,Sports / Snowboarding/Skiing,E
Star Wars Battlefront: Ultimate Edition,Xbox / PC,,Active,Nov 2020,,35.87,Nov 2015,4.99,75,Action / Shooter,T
Star Wars Battlefront II: Celebration Edition,Xbox / PC,Yes,Active,Nov 2020,,35.87,Nov 2017,2.98,66,Action / First-Person Shooter,T
Star Wars Jedi: Fallen Order,Xbox / PC,Yes,Active,Nov 2020,,35.87,Nov 2019,0.99,81,Action-Adventure,T
The Sims 4: Deluxe Party Edition,Xbox / PC,Yes,Active,Nov 2020,,35.87,Sep 2014,6.19,66,Simulation,T
Titanfall 2: Ultimate Edition,Xbox / PC,,Active,Nov 2020,,35.87,Oct 2016,4.04,87,First-Person Shooter,M
Unravel,Xbox / PC,,Active,Nov 2020,,35.87,Feb 2016,4.76,75,Puzzle / Platformer,E
Unravel Two,Xbox / PC,Yes,Active,Nov 2020,,35.87,Jun 2018,2.42,81,Puzzle / Platformer,E
Zuma,Xbox,,Active,Nov 2020,,35.87,Dec 2003,16.93,78,Puzzle,E
Zuma's Revenge!,Xbox,,Active,Nov 2020,,35.87,Sep 2009,11.16,76,Puzzle,E
Deep Rock Galactic,Xbox / PC,Yes,Active,Nov 2020,,36.03,May 2020,0.48,84,First-Person Shooter,T
Day of the Tentacle Remastered,Xbox / PC,,Active,Oct 2020,,36.26,Mar 2016,4.61,84,Adventure,T
Full Throttle Remastered,Xbox / PC,,Active,Oct 2020,,36.26,Apr 2017,3.53,76,Adventure,T
Grim Fandango Remastered,Xbox / PC,,Active,Oct 2020,,36.26,Jan 2015,5.76,80,Adventure,T
Tom Clancy's Rainbow Six: Siege - Deluxe Edition,Xbox / PC,Yes,Active,Oct 2020,,36.49,Dec 2015,4.90,74,First-Person Shooter,M
Age of Empires III: Definitive Edition,PC,,Active,Oct 2020,,36.72,Oct 2020,0.00,76,Strategy / Real-Time Strategy,T
Brütal Legend,Xbox,,Active,Oct 2020,,36.95,Oct 2009,10.99,82,Real-Time Strategy / Action-Adventure,M
DOOM Eternal,Xbox / PC,Yes,Active,Oct 2020,,37.18,Mar 2020,0.53,88,First-Person Shooter,M
Halo 3: ODST,PC,Yes,Active,Sep 2020,,37.48,Sep 2009,11.01,83,Action / First-Person Shooter,M
Crusader Kings III,Xbox / PC,Yes,Active,Sep 2020,,38.17,Sep 2020,0.00,91,Strategy,M
Wasteland 3,Xbox / PC,Touch Controls,Active,Aug 2020,,38.30,Aug 2020,0.00,86,Role-Playing,M
Tell Me Why,Xbox / PC,Touch Controls,Active,Aug 2020,,38.33,Aug 2020,0.00,80,Adventure,M
Battletoads,Xbox / PC,Yes,Active,Aug 2020,,38.56,Aug 2020,0.00,73,Brawler,E10+
New Super Lucky's Tale,Xbox / PC,Touch Controls,Active,Aug 2020,,38.56,Nov 2019,0.78,76,Platformer,E
Microsoft Flight Simulator (2020): Game of the Year Edition,Xbox / PC,Yes,Active,Aug 2020,,38.63,Aug 2020,0.00,92,Simulation / Flight Simulator,E
Trailmakers,Xbox / PC,Yes,Active,Aug 2020,,39.02,Sep 2019,0.88,70,Driving/Racing,E10+
Grounded,Xbox / PC,Touch Controls,Active,Jul 2020,,39.32,Jul 2020,0.00,65,Action-Adventure,T
Forager,Xbox / PC,Yes,Active,Jul 2020,,39.72,Apr 2019,1.25,78,Adventure,E10+
Halo 3,PC,,Active,Jul 2020,,39.78,Sep 2007,12.81,88,First-Person Shooter,M
Neon Abyss,Xbox / PC,Yes,Active,Jul 2020,,39.78,Jul 2020,0.00,77,Action / Platformer,T
Fallout 76,Xbox / PC,Yes,Active,Jul 2020,,39.95,Nov 2018,1.65,68,Sci-Fi / Alternate Historical / Post-Apocalyptic,M
The Bard's Tale ARPG: Remastered and Resnarkled,Xbox / PC,Touch Controls,Active,Jun 2020,,40.64,Jun 2020,0.00,90,Role-Playing,T
BattleTech,PC,,Active,Jun 2020,,40.87,Apr 2018,2.13,78,Strategy / Role-Playing,T
No Man's Sky,Xbox / PC,Yes,Active,Jun 2020,,40.87,Aug 2016,3.84,69,Simulation / Action-Adventure,T
Minecraft: Dungeons,Xbox / PC,Touch Controls,Active,May 2020,,41.39,May 2020,0.00,73,Role-Playing / Action-Adventure,E10+
Golf With Your Friends,Xbox / PC,Touch Controls,Active,May 2020,,41.62,May 2020,0.00,68,Sports / Golf,E10+
Halo 2: Anniversary,PC,,Active,May 2020,,41.85,Nov 2004,15.52,71,First-Person Shooter,M
DayZ,Xbox,Yes,Active,May 2020,,42.02,Dec 2013,6.40,56,Role-Playing / Simulation / First-Person Shooter,M
MechWarrior 5: Mercenaries,Xbox / PC,Yes,Active,May 2020,,42.02,Dec 2019,0.41,74,Action / Simulation / Shooter,T
Gears Tactics,Xbox / PC,Touch Controls,Active,Apr 2020,,42.31,Apr 2020,0.00,81,Strategy,M
Totally Reliable Delivery Service,Xbox / PC,Yes,Active,Apr 2020,,43.20,Apr 2020,0.00,60,Action / Simulation,E10+
Bleeding Edge,Xbox / PC,Yes,Active,Mar 2020,,43.46,Mar 2020,0.00,70,Action,T
Pikuniku,Xbox / PC,Yes,Active,Mar 2020,,43.86,Jan 2019,1.13,76,Puzzle / Platformer,E
Ori and the Will of the Wisps,Xbox / PC,Yes,Active,Mar 2020,,43.89,Mar 2020,0.00,90,Action / Platformer,E
Halo: Combat Evolved - Anniversary,PC,,Active,Mar 2020,,44.15,Nov 2001,18.31,79,First-Person Shooter,M
Wasteland Remastered,Xbox / PC,Touch Controls,Active,Feb 2020,,44.38,Feb 2020,0.00,60,Strategy / Role-Playing,T
Wolfenstein: Youngblood,Xbox / PC,Yes,Active,Feb 2020,,45.01,Jul 2019,0.54,68,First-Person Shooter,M
Frostpunk,Xbox / PC,Touch Controls,Active,Jan 2020,,45.93,Apr 2018,1.71,84,Simulation,M
Phoenix Point,Xbox / PC,Touch Controls,Active,Dec 2019,,46.59,Dec 2019,0.05,74,Strategy,T
Totally Accurate Battle Simulator,Xbox / PC,Touch Controls,Active,Dec 2019,,46.59,Apr 2019,0.72,76,Strategy / Simulation,T
Pillars of Eternity: Complete Edition,Xbox / PC,Touch Controls,Active,Dec 2019,,46.62,Mar 2015,4.74,86,Role-Playing,M
Overcooked! 2,Xbox / PC,Touch Controls,Active,Dec 2019,,46.85,Aug 2018,1.35,83,Simulation,E
Halo: Reach,PC,,Active,Dec 2019,,47.15,Sep 2010,9.22,91,Action / Shooter / First-Person Shooter,M
Age of Empires II: Definitive Edition,Xbox / PC,,Active,Nov 2019,,47.77,Nov 2019,0.00,84,Strategy,T
RAGE 2,Xbox / PC,Yes,Active,Nov 2019,,47.77,May 2019,0.50,72,First-Person Shooter,M
The Outer Worlds,Xbox / PC,Yes,Active,Oct 2019,,48.43,Oct 2019,0.00,85,Role-Playing / First-Person Shooter,M
Lonely Mountains: Downhill,Xbox / PC,Yes,Active,Oct 2019,,48.49,Oct 2019,0.00,79,Sports / Driving/Racing,E10+
Fallout: New Vegas - Ultimate Edition,Xbox / PC,Yes,Active,Oct 2019,,48.69,Oct 2010,9.00,84,Role-Playing / First-Person Shooter,M
Dishonored 2,Xbox / PC,Yes,Active,Oct 2019,,49.15,Nov 2016,2.89,88,Action-Adventure,M
Gears 5: Game of the Year Edition,Xbox / PC,Touch Controls,Active,Sep 2019,,49.91,Sep 2019,0.00,83,Action,M
Dead Cells,Xbox / PC,Touch Controls,Active,Sep 2019,,50.07,May 2017,2.32,91,Platformer / Action-Adventure,T
The Bard's Tale IV: Director's Cut,Xbox / PC,Touch Controls,Active,Aug 2019,,50.37,Sep 2018,0.94,70,Role-Playing,T
Age of Empires: Definitive Edition,PC,,Active,Aug 2019,,50.63,Feb 2018,1.50,83,Strategy,T
Stellaris,Xbox / PC,Yes,Active,Aug 2019,,50.63,May 2016,3.28,81,Strategy,E10+
Slay the Spire,Xbox / PC,Touch Controls,Active,Aug 2019,,50.79,Nov 2017,1.75,88,Strategy / Card Game,E10+
The Bard's Tale Trilogy,Xbox / PC,Touch Controls,Active,Aug 2019,,50.83,Aug 2018,1.00,70,Role-Playing,T
Killer Instinct 2 Classic,Xbox,,Active,Jul 2019,,51.45,Nov 2013,5.67,59,Fighting,M
Killer Instinct Classic,Xbox,,Active,Jul 2019,,51.45,Oct 1994,24.76,85,Fighting,M
Killer Instinct (2013): Definitive Edition,Xbox / PC,Touch Controls,Active,Jul 2019,,51.45,Nov 2013,5.67,86,Fighting,M
Middle-earth: Shadow of War,Xbox / PC,Yes,Active,Jul 2019,,52.14,Oct 2017,1.73,81,Action / Role-Playing / Action-Adventure,M
My Time at Portia,Xbox / PC,Yes,Active,Jul 2019,,52.14,Apr 2019,0.22,73,Role-Playing / Simulation,E10+
Torment: Tides of Numenera,Xbox / PC,Touch Controls,Active,Jun 2019,,52.37,Feb 2017,2.33,81,Role-Playing,M
Perfect Dark,Xbox,Yes,Active,Jun 2019,,52.60,Aug 2000,18.82,79,Action / Shooter,M
Rare Replay,Xbox,,Active,Jun 2019,,52.60,Aug 2015,3.88,84,Compilation,M
ASTRONEER,Xbox / PC,Yes,Active,Jun 2019,,52.96,Dec 2016,2.48,72,Adventure,E
Batman: Arkham Knight,Xbox,Yes,Active,Jun 2019,,52.96,Jun 2015,3.96,85,Action-Adventure,M
Halo: Spartan Strike,PC,,Active,Jun 2019,,52.96,Apr 2015,4.15,66,Action / Dual-Joystick Shooter,E10+
Hollow Knight: Voidheart Edition,Xbox / PC,Yes,Active,Jun 2019,,52.96,Feb 2017,2.29,90,Platformer / Action-Adventure,E10+
Moonlighter,Xbox / PC,Yes,Active,Jun 2019,,52.96,May 2018,1.03,84,Action / Role-Playing,E10+
Rise of Nations: Extended Edition,PC,,Active,Jun 2019,,52.96,May 2003,16.07,89,Strategy / Real-Time Strategy / Trivia/Board Game,T
Dead by Daylight: Special Edition,Xbox / PC,Yes,Active,May 2019,,53.29,Jun 2016,2.96,58,Action,M
Descenders,Xbox / PC,Yes,Active,May 2019,,54.05,Feb 2018,1.24,77,Sports / Driving/Racing,E
Wolfenstein II: The New Colossus,Xbox / PC,Yes,Active,May 2019,,54.21,Oct 2017,1.51,88,First-Person Shooter,M
The Walking Dead: A New Frontier,Xbox / PC,Touch Controls,Active,Apr 2019,,54.67,Dec 2016,2.33,73,Adventure,M
Prey,Xbox / PC,Yes,Active,Apr 2019,,54.90,May 2017,1.93,83,First-Person Shooter / Action-Adventure,M
Minecraft,Xbox / PC,,Active,Apr 2019,,55.13,Nov 2011,7.38,88,Action-Adventure,E10+
The Walking Dead: Michonne,Xbox / PC,Touch Controls,Active,Mar 2019,,55.36,Feb 2016,3.09,64,Adventure,M
Fallout 4,Xbox / PC,Yes,Active,Mar 2019,,55.82,Nov 2015,3.34,88,Role-Playing / Shooter,M
The Walking Dead: Season Two,Xbox / PC,Touch Controls,Active,Feb 2019,,56.28,Dec 2013,5.20,83,Adventure,M
